age_entrepreneur,niveau_formation,region_togo,budget_demande_fcfa,projet_finance
24.0,Commerciale,Savanes,623413.5344939628,0
32.0,Aucune,Maritime,2694785.4019627045,0
28.0,Technique/EPL,Centrale,543201.132890464,1
25.0,Technique/EPL,Savanes,834856.1371298942,1
,Universitaire,Centrale,2408558.8042617505,0
28.0,Aucune,Savanes,1430047.6518437322,1
28.0,Commerciale,Centrale,264222.01247407275,1
21.0,Commerciale,Plateaux,359351.0634046558,0
25.0,Commerciale,Centrale,207872.49772397362,0
20.0,Aucune,Plateaux,1196746.7068014913,0
19.0,Universitaire,Centrale,793615.7870102337,0
29.0,Technique/EPL,Savanes,344187.8005901035,1
23.0,Technique/EPL,Savanes,3368518.3433152223,1
19.0,Technique/EPL,Savanes,954298.8546284627,1
18.0,Technique/EPL,Kara,476931.13030920475,1
29.0,Universitaire,Maritime,894355.0520525156,0
29.0,Universitaire,Savanes,1338248.5262732562,0
34.0,Technique/EPL,Plateaux,279302.1347700508,1
27.0,Aucune,Savanes,521175.17658509285,0
33.0,Aucune,Kara,1844886.302350852,0
32.0,Aucune,Plateaux,815565.7215573472,0
32.0,Commerciale,Kara,990930.1276058035,1
29.0,Aucune,Plateaux,767071.5168023113,0
20.0,Aucune,Centrale,244892.708900157,0
22.0,Technique/EPL,Maritime,381221.8974251937,1
24.0,Commerciale,Maritime,789763.5674222761,1
26.0,Commerciale,Kara,434691.808249024,0
24.0,Universitaire,Maritime,251271.21953612685,0
21.0,Universitaire,Kara,2055656.0463874307,0
31.0,Universitaire,Kara,4173501.10319524,0
26.0,Aucune,Kara,1775726.9365677424,0
19.0,Commerciale,Maritime,2122676.602269478,0
32.0,Universitaire,Kara,477041.72270921135,0
24.0,Universitaire,Maritime,3434674.354858788,0
29.0,Universitaire,Kara,419308.0468413782,0
25.0,Universitaire,Savanes,3224745.318202052,0
32.0,Universitaire,Kara,5462813.931989295,1
20.0,Commerciale,Plateaux,1443832.781684682,0
31.0,Commerciale,Kara,4170909.889426446,1
34.0,Universitaire,Centrale,1042900.3625594062,0
21.0,Universitaire,Kara,500486.0724923195,0
25.0,Aucune,Plateaux,774468.3429928096,0
21.0,Universitaire,Plateaux,1100321.2637616177,0
19.0,Aucune,Maritime,275889.7022138439,0
23.0,Universitaire,Savanes,1173769.603394951,0
27.0,Commerciale,Kara,4172720.207875388,1
21.0,Universitaire,Maritime,410853.9411153337,0
29.0,Technique/EPL,Savanes,1773082.436156245,1
19.0,Technique/EPL,Kara,38773008.58426886,1
27.0,Aucune,Centrale,3077089.035892496,1
21.0,Universitaire,Kara,3422271.6944481987,0
31.0,Aucune,Plateaux,937014.7220569544,0
33.0,Aucune,Plateaux,3985738.784859356,1
32.0,Technique/EPL,Centrale,1615971.2237241736,1
25.0,Universitaire,Maritime,376345.1744808563,0
31.0,Universitaire,Savanes,847982.8321383203,0
25.0,Aucune,Kara,1467023.278921252,0
33.0,Technique/EPL,Plateaux,484142.09997979586,1
30.0,Universitaire,Maritime,1223361.552461353,0
,Universitaire,Centrale,1298413.7455189629,0
30.0,Universitaire,Plateaux,377572.5437985096,0
26.0,Technique/EPL,Centrale,1032605.3877086579,1
32.0,Universitaire,Kara,1676774.6320413959,0
30.0,Technique/EPL,Savanes,890940.945159936,1
18.0,Commerciale,Plateaux,212176.95588770034,0
24.0,Universitaire,Plateaux,209079.5638509043,0
26.0,Technique/EPL,Kara,641656.1918201067,1
18.0,Technique/EPL,Maritime,2806316.177052402,1
29.0,Universitaire,Savanes,459647.7709639169,0
25.0,Commerciale,Plateaux,1206116.12505522,0
28.0,Universitaire,Savanes,451126.27973050973,0
34.0,Universitaire,Plateaux,588121.3685465558,0
25.0,Universitaire,Savanes,2084151.7017541253,1
20.0,Universitaire,Centrale,1505125.3056263973,0
20.0,Technique/EPL,Plateaux,300261.623036669,1
18.0,Commerciale,Savanes,759844.3507801786,0
22.0,Technique/EPL,Maritime,229603.65980225214,1
27.0,Technique/EPL,Centrale,855639.7546358057,1
24.0,Commerciale,Centrale,1285994.2668955456,0
,Aucune,Maritime,326133.2534369584,0
24.0,Aucune,Savanes,540921.0323270345,0
26.0,Technique/EPL,Kara,707226.4842828503,1
25.0,Commerciale,Maritime,2719883.56829711,1
29.0,Aucune,Savanes,5198956.075902351,0
19.0,Aucune,Maritime,245951.06218168273,0
18.0,Aucune,Maritime,1631324.8803005745,0
33.0,Aucune,Plateaux,664775.824305489,0
22.0,Aucune,Savanes,698334.276884173,0
20.0,Technique/EPL,Kara,1603501.4509953419,1
29.0,Universitaire,Plateaux,2706249.9928371725,0
25.0,Technique/EPL,Maritime,3214478.786587206,1
20.0,Technique/EPL,Maritime,1060672.9434454637,1
18.0,Aucune,Maritime,641799.000649414,0
20.0,Technique/EPL,Savanes,1749044.3095770988,1
22.0,Universitaire,Savanes,489018.14227877284,0
32.0,Universitaire,Plateaux,1030282.8409517736,0
31.0,Aucune,Kara,644068.4118766536,0
20.0,Technique/EPL,Plateaux,1268949.822987794,1
18.0,Technique/EPL,Centrale,474961.86888850963,1
22.0,Commerciale,Maritime,412689.5672844426,1
31.0,Universitaire,Maritime,2703955.9817896867,0
24.0,Universitaire,Maritime,307366.61870379176,0
26.0,Technique/EPL,Plateaux,905134.5584098176,0
32.0,Commerciale,Plateaux,449555.2688905251,0
32.0,Aucune,Maritime,239707.99371386666,0
27.0,Aucune,Plateaux,236683.5056113271,0
30.0,Technique/EPL,Savanes,392640.74345832685,1
24.0,Aucune,Savanes,2215680.981870723,0
34.0,Commerciale,Plateaux,531952.7066680494,1
21.0,Universitaire,Maritime,3204958.11253576,0
22.0,Technique/EPL,Plateaux,1071370.6491738637,1
24.0,Universitaire,Plateaux,773790.6098150876,0
30.0,Commerciale,Plateaux,1067712.1011941032,1
32.0,Commerciale,Centrale,927114.3589950866,1
28.0,Universitaire,Savanes,1622030.3685493483,0
21.0,Commerciale,Kara,531976.8483987264,0
30.0,Commerciale,Kara,635486.8725226265,0
24.0,Universitaire,Centrale,2445206.2273805207,0
19.0,Aucune,Plateaux,3127261.1169441505,0
27.0,Technique/EPL,Centrale,2430806.229197307,1
30.0,Commerciale,Centrale,743775.893497494,1
23.0,Technique/EPL,Maritime,1715790.4915515273,0
29.0,Commerciale,Savanes,846904.5124116817,1
29.0,Aucune,Kara,888238.9499473695,0
28.0,Aucune,Plateaux,429010.8667160451,0
24.0,Technique/EPL,Kara,16415381.453609912,1
18.0,Aucune,Kara,405961.8774743308,0
18.0,Commerciale,Savanes,602815.6695729184,0
30.0,Commerciale,Kara,2131229.845290355,0
26.0,Commerciale,Kara,432027.6599131031,0
20.0,Universitaire,Centrale,273816.93700302625,0
24.0,Technique/EPL,Savanes,271504.15706895466,0
23.0,Universitaire,Maritime,3026572.293283546,0
25.0,Universitaire,Plateaux,907084.7345157996,0
26.0,Universitaire,Kara,726636.7498016638,0
,Technique/EPL,Plateaux,1865366.041661833,1
18.0,Universitaire,Maritime,2006827.9988809696,0
27.0,Technique/EPL,Plateaux,603753.1240628876,1
29.0,Commerciale,Maritime,1382922.7771663489,1
32.0,Commerciale,Centrale,1674569.733059262,1
26.0,Technique/EPL,Kara,1263198.8723472205,1
34.0,Universitaire,Maritime,364397.2510280493,0
34.0,Universitaire,Plateaux,2286531.282741948,0
29.0,Aucune,Kara,974562.3605709238,0
