age_entrepreneur,niveau_formation,region_togo,budget_demande_fcfa,projet_finance
24.0,Technique/EPL,Savanes,1042771.9143521059,0
32.0,Technique/EPL,Plateaux,2228070.238689539,0
28.0,Universitaire,Savanes,676629.7872237798,0
25.0,Commerciale,Savanes,664396.8863004686,0
24.0,Technique/EPL,Kara,17455730.36925744,0
28.0,Commerciale,Plateaux,1202591.4164641374,0
28.0,Commerciale,Maritime,833530.5533303005,0
21.0,Aucune,Maritime,785296.6198338817,0
25.0,Universitaire,Centrale,881510.4914933213,0
20.0,Universitaire,Maritime,2173607.2946742713,0
19.0,Universitaire,Kara,818349.4058462704,0
29.0,Technique/EPL,Savanes,3012274.561925485,0
23.0,Universitaire,Savanes,901186.9401818163,0
19.0,Technique/EPL,Savanes,3179872.5697839363,0
18.0,Universitaire,Plateaux,1988755.397188663,0
29.0,Universitaire,Maritime,650093.2785218607,0
29.0,Universitaire,Kara,2192467.2548865564,0
34.0,Universitaire,Plateaux,316604.92462804157,0
27.0,Universitaire,Centrale,2790896.367925724,0
33.0,Aucune,Kara,1198704.1006951102,0
32.0,Technique/EPL,Kara,255925.84866656363,0
32.0,Commerciale,Kara,1233545.9421227884,0
29.0,Technique/EPL,Savanes,3859229.5548473317,0
20.0,Aucune,Kara,272356.3659277449,0
22.0,Aucune,Maritime,1008979.467170284,0
24.0,Technique/EPL,Kara,1577510.4518932884,0
26.0,Commerciale,Savanes,1862093.1164287843,0
24.0,Universitaire,Kara,734141.1049602656,0
21.0,Commerciale,Centrale,6425480.403282259,0
31.0,Universitaire,Centrale,243264.84958376247,0
26.0,Technique/EPL,Savanes,1066848.7732575126,0
19.0,Technique/EPL,Maritime,803143.912567105,0
32.0,Universitaire,Maritime,3170930.3040108406,0
24.0,Aucune,Plateaux,262519.129710862,0
29.0,Commerciale,Savanes,1356438.486960844,0
25.0,Commerciale,Kara,225283.1646049501,0
32.0,Technique/EPL,Savanes,388058.99652130494,0
20.0,Commerciale,Plateaux,804365.5379407421,0
31.0,Commerciale,Savanes,806735.4618013045,0
34.0,Universitaire,Savanes,1357409.0626177269,0
21.0,Aucune,Plateaux,2610315.468639268,0
25.0,Technique/EPL,Maritime,1218966.407484187,0
21.0,Universitaire,Kara,3269058.0438936744,0
19.0,Technique/EPL,Plateaux,2333818.658821524,0
,Aucune,Centrale,1078272.1725827605,0
27.0,Universitaire,Maritime,1994514.9676421962,0
21.0,Aucune,Centrale,1228837.0322302743,0
29.0,Universitaire,Maritime,281815.26121947734,0
19.0,Commerciale,Kara,1549248.0227435792,0
27.0,Commerciale,Kara,299719.17052920145,0
21.0,Technique/EPL,Savanes,1101606.033198262,0
31.0,Commerciale,Centrale,1412812.4452795947,0
33.0,Aucune,Maritime,268843.89138238324,0
32.0,Aucune,Kara,462397.31511814904,0
25.0,Universitaire,Plateaux,2673044.0762979346,0
31.0,Technique/EPL,Kara,1157932.0521399337,0
25.0,Technique/EPL,Plateaux,482742.3182324953,0
33.0,Universitaire,Maritime,1373378.1993864311,0
30.0,Aucune,Kara,1108264.0816971245,0
32.0,Technique/EPL,Kara,896303.556513546,0
30.0,Technique/EPL,Maritime,3937522.578593749,0
26.0,Universitaire,Kara,1350286.0051148797,0
32.0,Universitaire,Plateaux,670709.6538911507,0
30.0,Technique/EPL,Kara,1809805.1402383174,0
18.0,Technique/EPL,Centrale,2359206.160007426,0
24.0,Aucune,Savanes,333783.49241824134,0
26.0,Aucune,Plateaux,423835.0126250745,0
18.0,Universitaire,Centrale,443635.8530190389,0
29.0,Technique/EPL,Maritime,1375099.7043948525,0
25.0,Aucune,Plateaux,1123918.6381537528,0
28.0,Universitaire,Savanes,1164933.7642018013,0
34.0,Universitaire,Savanes,3026382.8200121364,0
25.0,Universitaire,Maritime,1695714.3622719592,0
20.0,Technique/EPL,Maritime,336893.523413677,0
20.0,Technique/EPL,Plateaux,626954.994135662,0
18.0,Technique/EPL,Kara,771626.5095522049,0
22.0,Aucune,Maritime,704117.4882806514,0
27.0,Universitaire,Kara,1306569.692480761,0
24.0,Commerciale,Centrale,2424634.756710315,0
26.0,Universitaire,Savanes,565357.4761569167,0
24.0,Universitaire,Kara,1002687.8351066976,0
26.0,Technique/EPL,Savanes,1757839.4187141364,0
25.0,Universitaire,Kara,738227.7543145459,0
29.0,Technique/EPL,Centrale,384064.82949037384,0
19.0,Universitaire,Maritime,844263.6212543524,0
18.0,Technique/EPL,Centrale,256805.85090194893,0
33.0,Aucune,Maritime,3053945.495625741,0
22.0,Technique/EPL,Maritime,277768.26846703177,0
20.0,Commerciale,Savanes,777066.4200642867,0
29.0,Technique/EPL,Centrale,954769.9802032695,0
25.0,Aucune,Kara,4420168.519000889,0
20.0,Technique/EPL,Centrale,381548.0444032466,0
18.0,Universitaire,Savanes,321525.4883434095,0
20.0,Universitaire,Maritime,208744.26697385387,0
22.0,Universitaire,Savanes,369095.13703969505,0
32.0,Aucune,Plateaux,432276.35250876483,0
31.0,Universitaire,Plateaux,1195823.619648819,0
20.0,Technique/EPL,Kara,448085.5201802552,0
18.0,Commerciale,Savanes,220734.29218507465,0
22.0,Universitaire,Kara,1952260.0189783874,0
,Aucune,Kara,655068.8322089969,0
24.0,Aucune,Plateaux,636486.3599752823,0
26.0,Aucune,Kara,560222.700029515,0
32.0,Technique/EPL,Plateaux,3903923.1307742004,0
32.0,Technique/EPL,Maritime,386468.64485994866,0
27.0,Universitaire,Savanes,2485119.1539545166,0
