date,categorie,prix_unitaire,quantite,remise,canal_acquisition,mode_paiement,depense_pub,revenu_transaction,produit_retourne
2022-01-01,Electronique,199.64,2,0.03,Reseaux_sociaux,Mobile_Money,0.0,387.3,0
2022-01-01,Mode,20.68,3,0.04,Reseaux_sociaux,Carte_bancaire,0.0,59.56,0
2022-01-01,Maison,61.62,2,0.05,Recherche_organique,Mobile_Money,0.0,117.08,0
2022-01-01,Mode,48.4,2,0.01,Reseaux_sociaux,Mobile_Money,0.0,95.83,0
2022-01-01,Maison,44.03,3,0.04,Recherche_organique,Carte_bancaire,0.0,126.81,0
2022-01-01,Mode,37.29,3,0.02,Email,Carte_bancaire,0.0,109.63,1
2022-01-01,Beaute,6.87,1,0.0,Email,Mobile_Money,0.0,6.87,0
2022-01-01,Electronique,196.32,2,0.02,Email,Mobile_Money,0.0,384.79,0
2022-01-01,Alimentation,25.39,1,0.01,Reseaux_sociaux,Mobile_Money,0.0,25.14,0
2022-01-01,Electronique,229.62,1,0.0,Email,Mobile_Money,0.0,229.62,0
2022-01-02,Sport,71.42,2,0.04,Reseaux_sociaux,Mobile_Money,0.0,137.13,0
2022-01-02,Maison,39.01,3,0.03,Recherche_organique,Mobile_Money,0.0,113.52,0
2022-01-02,Mode,16.48,2,0.01,Publicite_payante,Carte_bancaire,5.45,32.63,1
2022-01-02,Mode,39.87,3,0.01,Direct,Carte_bancaire,0.0,118.41,0
2022-01-02,Mode,29.12,3,0.01,Reseaux_sociaux,Mobile_Money,0.0,86.49,0
2022-01-02,Alimentation,20.58,2,0.05,Publicite_payante,Mobile_Money,17.45,39.1,1
2022-01-02,Alimentation,20.56,3,0.01,Email,Mobile_Money,0.0,61.06,0
2022-01-02,Mode,43.53,3,0.04,Email,Mobile_Money,0.0,125.37,0
2022-01-02,Maison,58.42,1,0.0,Direct,Mobile_Money,0.0,58.42,0
2022-01-03,Maison,90.08,1,0.01,Recherche_organique,Carte_bancaire,0.0,89.18,0
2022-01-03,Maison,20.39,3,0.0,Publicite_payante,Carte_bancaire,16.78,61.17,0
2022-01-03,Mode,31.23,2,0.0,Publicite_payante,Mobile_Money,8.27,62.46,0
2022-01-03,Mode,32.14,3,0.05,Publicite_payante,Mobile_Money,16.95,91.6,1
2022-01-03,Electronique,156.0,2,0.03,Recherche_organique,Carte_bancaire,0.0,302.64,0
2022-01-03,Maison,78.84,3,0.02,Recherche_organique,Carte_bancaire,0.0,231.79,0
2022-01-03,Electronique,85.58,2,0.04,Email,Carte_bancaire,0.0,164.31,0
2022-01-03,Mode,30.29,3,0.02,Publicite_payante,Paiement_livraison,4.75,89.05,0
2022-01-03,Maison,77.06,2,0.05,Publicite_payante,Paiement_livraison,4.93,146.41,1
2022-01-03,Beaute,11.53,1,0.02,Recherche_organique,Carte_bancaire,0.0,11.3,0
2022-01-03,Maison,27.07,1,0.01,Recherche_organique,Carte_bancaire,0.0,26.8,0
2022-01-04,Electronique,206.38,1,0.0,Recherche_organique,Mobile_Money,0.0,206.38,0
2022-01-04,Mode,55.01,3,0.04,Publicite_payante,Carte_bancaire,19.99,158.43,0
2022-01-04,Beaute,37.22,3,0.0,Publicite_payante,Mobile_Money,5.1,111.66,0
2022-01-04,Electronique,133.47,3,0.04,Reseaux_sociaux,Carte_bancaire,0.0,384.39,0
2022-01-05,Alimentation,27.5,2,0.03,Email,Mobile_Money,0.0,53.35,0
2022-01-05,Maison,93.9,1,0.0,Direct,Paiement_livraison,0.0,93.9,0
2022-01-05,Maison,91.46,2,0.02,Email,Mobile_Money,0.0,179.26,0
2022-01-05,Alimentation,6.82,1,0.05,Publicite_payante,Paiement_livraison,2.36,6.48,0
2022-01-06,Electronique,156.87,3,0.01,Publicite_payante,Paiement_livraison,12.68,465.9,0
2022-01-06,Mode,16.27,1,0.04,Reseaux_sociaux,Mobile_Money,0.0,15.62,1
2022-01-06,Mode,35.78,2,0.03,Recherche_organique,Carte_bancaire,0.0,69.41,1
2022-01-06,Beaute,6.25,1,0.01,Reseaux_sociaux,Mobile_Money,0.0,6.19,0
2022-01-06,Mode,36.68,2,0.0,Email,Carte_bancaire,0.0,73.36,1
2022-01-06,Electronique,201.06,1,0.02,Reseaux_sociaux,Mobile_Money,0.0,197.04,0
2022-01-07,Maison,50.85,3,0.03,Email,Carte_bancaire,0.0,147.97,0
2022-01-07,Maison,84.64,3,0.04,Direct,Mobile_Money,0.0,243.76,0
2022-01-07,Maison,34.74,2,0.05,Email,Mobile_Money,0.0,66.01,0
2022-01-08,Electronique,234.11,2,0.02,Reseaux_sociaux,Carte_bancaire,0.0,458.86,0
2022-01-08,Mode,18.23,1,0.04,Recherche_organique,Carte_bancaire,0.0,17.5,0
2022-01-08,Alimentation,28.08,2,0.04,Reseaux_sociaux,Mobile_Money,0.0,53.91,0
2022-01-08,Sport,63.27,2,0.04,Publicite_payante,Mobile_Money,9.21,121.48,0
2022-01-08,Maison,23.8,3,0.05,Recherche_organique,Carte_bancaire,0.0,67.83,0
2022-01-08,Maison,64.7,2,0.03,Publicite_payante,Carte_bancaire,16.13,125.52,0
2022-01-08,Mode,23.62,2,0.02,Recherche_organique,Mobile_Money,0.0,46.3,0
2022-01-08,Alimentation,5.27,3,0.0,Recherche_organique,Mobile_Money,0.0,15.81,0
2022-01-08,Mode,19.69,2,0.02,Reseaux_sociaux,Carte_bancaire,0.0,38.59,0
2022-01-08,Alimentation,13.21,2,0.04,Reseaux_sociaux,Carte_bancaire,0.0,25.36,0
2022-01-08,Beaute,36.01,3,0.04,Email,Mobile_Money,0.0,103.71,0
2022-01-08,Beaute,35.06,1,0.02,Email,Paiement_livraison,0.0,34.36,0
2022-01-09,Maison,51.78,1,0.04,Publicite_payante,Mobile_Money,9.97,49.71,0
2022-01-09,Mode,35.0,1,0.02,Publicite_payante,Mobile_Money,9.85,34.3,0
2022-01-09,Maison,74.66,2,0.01,Reseaux_sociaux,Carte_bancaire,0.0,147.83,1
2022-01-09,Electronique,238.75,3,0.05,Email,Mobile_Money,0.0,680.44,0
2022-01-09,Mode,36.93,1,0.01,Publicite_payante,Carte_bancaire,13.14,36.56,0
2022-01-09,Beaute,12.03,2,0.03,Reseaux_sociaux,Paiement_livraison,0.0,23.34,0
2022-01-09,Electronique,143.65,3,0.02,Reseaux_sociaux,Carte_bancaire,0.0,422.33,0
2022-01-09,Beaute,30.32,1,0.05,Reseaux_sociaux,Mobile_Money,0.0,28.8,0
2022-01-09,Maison,26.26,2,0.03,Direct,Carte_bancaire,0.0,50.94,0
2022-01-09,Beaute,22.3,1,0.02,Reseaux_sociaux,Carte_bancaire,0.0,21.85,0
2022-01-10,Beaute,13.95,2,0.02,Reseaux_sociaux,Mobile_Money,0.0,27.34,1
2022-01-10,Mode,59.04,2,0.03,Publicite_payante,Mobile_Money,7.39,114.54,0
2022-01-10,Mode,40.39,2,0.01,Reseaux_sociaux,Carte_bancaire,0.0,79.97,0
2022-01-10,Electronique,199.84,3,0.03,Email,Mobile_Money,0.0,581.53,0
2022-01-10,Mode,53.28,3,0.02,Recherche_organique,Paiement_livraison,0.0,156.64,0
2022-01-10,Mode,57.57,1,0.04,Publicite_payante,Paiement_livraison,19.88,55.27,1
2022-01-11,Sport,62.89,1,0.04,Email,Mobile_Money,0.0,60.37,0
2022-01-11,Beaute,21.84,2,0.04,Reseaux_sociaux,Mobile_Money,0.0,41.93,0
2022-01-11,Electronique,207.12,1,0.04,Publicite_payante,Paiement_livraison,5.15,198.84,1
2022-01-11,Beaute,10.67,3,0.03,Email,Mobile_Money,0.0,31.05,0
2022-01-11,Maison,81.89,3,0.01,Email,Carte_bancaire,0.0,243.21,0
2022-01-12,Electronique,189.99,3,0.05,Direct,Mobile_Money,0.0,541.47,1
2022-01-12,Mode,22.02,1,0.04,Email,Mobile_Money,0.0,21.14,0
2022-01-12,Maison,27.01,2,0.05,Recherche_organique,Paiement_livraison,0.0,51.32,0
2022-01-12,Sport,50.48,3,0.03,Reseaux_sociaux,Carte_bancaire,0.0,146.9,0
2022-01-13,Mode,21.98,3,0.04,Publicite_payante,Mobile_Money,16.92,63.3,1
2022-01-13,Maison,44.45,1,0.03,Publicite_payante,Mobile_Money,10.27,43.12,0
2022-01-13,Electronique,218.99,1,0.01,Email,Mobile_Money,0.0,216.8,0
2022-01-13,Electronique,122.45,2,0.0,Publicite_payante,Carte_bancaire,1.79,244.9,0
2022-01-13,Electronique,131.62,2,0.0,Direct,Mobile_Money,0.0,263.24,0
