date,pluviometrie_mm,temperature_moy_c,demande_sang_simulee
2021-01-01,0.0,27.6,199
2021-01-02,0.4,28.1,190
2021-01-03,1.1,27.8,202
2021-01-04,3.0,27.8,215
2021-01-05,0.6,28.1,188
2021-01-06,1.7,28.1,188
2021-01-07,1.6,27.8,216
2021-01-08,1.5,27.5,204
2021-01-09,0.2,27.5,185
2021-01-10,0.0,27.4,200
2021-01-11,0.0,27.4,185
2021-01-12,0.0,27.3,187
2021-01-13,0.5,27.4,200
2021-01-14,0.8,27.1,173
2021-01-15,0.4,27.0,175
2021-01-16,2.4,26.7,193
2021-01-17,0.0,27.0,187
2021-01-18,1.4,27.0,207
2021-01-19,1.3,27.1,188
2021-01-20,0.2,27.3,179
2021-01-21,0.1,27.0,222
2021-01-22,1.7,26.9,196
2021-01-23,0.0,27.0,200
2021-01-24,0.0,26.7,177
2021-01-25,0.0,27.1,190
2021-01-26,0.0,27.4,201
2021-01-27,0.3,27.6,182
2021-01-28,0.7,28.0,205
2021-01-29,1.8,28.0,190
2021-01-30,0.4,27.9,195
2021-01-31,0.9,28.1,190
2021-02-01,0.6,28.0,227
2021-02-02,2.9,28.0,199
2021-02-03,1.4,27.9,183
2021-02-04,1.1,28.1,210
2021-02-05,4.0,27.6,179
2021-02-06,0.7,28.1,200
2021-02-07,0.9,28.5,167
2021-02-08,1.1,28.3,177
2021-02-09,0.6,28.3,200
2021-02-10,0.6,28.5,208
2021-02-11,0.0,28.7,200
2021-02-12,0.5,28.5,197
2021-02-13,0.0,28.7,194
2021-02-14,1.6,28.4,177
2021-02-15,1.6,28.1,189
2021-02-16,2.9,28.3,193
2021-02-17,4.6,27.9,216
2021-02-18,1.0,27.7,205
2021-02-19,1.7,27.2,173
2021-02-20,0.1,27.4,205
2021-02-21,0.0,27.4,194
2021-02-22,0.0,27.7,189
2021-02-23,0.0,28.3,208
2021-02-24,2.3,28.3,215
2021-02-25,1.6,28.4,214
2021-02-26,0.5,28.3,189
2021-02-27,1.4,28.2,199
2021-02-28,0.7,28.3,208
2021-03-01,1.1,28.6,218
2021-03-02,0.6,28.9,196
2021-03-03,1.0,28.8,200
2021-03-04,1.6,29.0,186
2021-03-05,0.9,28.9,184
2021-03-06,0.2,28.9,214
2021-03-07,1.6,28.3,222
2021-03-08,0.4,28.7,200
2021-03-09,0.6,28.6,216
2021-03-10,0.6,28.5,206
2021-03-11,0.9,27.8,191
2021-03-12,4.2,28.1,206
2021-03-13,1.5,27.9,224
2021-03-14,2.2,27.1,201
2021-03-15,0.0,27.9,225
2021-03-16,0.1,28.3,163
2021-03-17,10.0,27.7,214
2021-03-18,5.9,26.8,203
2021-03-19,0.0,27.1,196
2021-03-20,0.4,27.3,200
2021-03-21,1.5,27.9,169
2021-03-22,3.5,27.8,197
2021-03-23,1.4,26.9,206
2021-03-24,3.2,27.4,224
2021-03-25,0.9,27.2,194
2021-03-26,0.0,27.1,189
2021-03-27,1.1,27.9,197
2021-03-28,2.8,27.4,220
2021-03-29,0.7,27.7,211
2021-03-30,0.0,27.6,198
2021-03-31,0.0,28.3,214
2021-04-01,0.5,28.1,208
2021-04-02,0.9,28.7,222
2021-04-03,1.0,28.6,197
2021-04-04,0.0,28.6,203
2021-04-05,2.3,28.5,201
2021-04-06,0.2,28.7,186
2021-04-07,0.0,29.1,213
2021-04-08,0.6,28.9,212
2021-04-09,0.7,29.0,208
2021-04-10,0.1,28.2,204
2021-04-11,0.0,28.4,186
2021-04-12,1.3,28.5,200
2021-04-13,0.0,28.8,201
2021-04-14,1.0,28.7,193
2021-04-15,0.0,28.8,204
2021-04-16,0.0,29.0,212
2021-04-17,10.4,28.0,231
2021-04-18,3.4,26.9,203
2021-04-19,0.0,27.5,204
2021-04-20,1.7,27.8,199
2021-04-21,0.0,28.7,171
2021-04-22,1.1,29.1,199
2021-04-23,1.5,29.2,199
2021-04-24,5.0,28.5,234
2021-04-25,0.8,28.0,194
2021-04-26,1.4,28.6,202
2021-04-27,0.9,28.8,200
2021-04-28,2.8,27.4,184
2021-04-29,0.0,27.5,218
2021-04-30,0.0,28.3,213
2021-05-01,0.0,28.7,213
2021-05-02,1.3,28.9,188
2021-05-03,5.1,27.8,223
2021-05-04,3.4,27.0,182
2021-05-05,0.6,27.8,213
2021-05-06,5.1,27.6,236
2021-05-07,8.9,27.5,189
2021-05-08,72.3,25.6,196
2021-05-09,2.5,26.7,206
2021-05-10,1.1,27.2,197
2021-05-11,0.3,27.5,181
2021-05-12,0.0,27.9,206
2021-05-13,0.0,28.0,190
2021-05-14,0.9,27.8,215
2021-05-15,2.6,27.9,194
2021-05-16,0.7,27.3,233
2021-05-17,2.6,27.8,201
2021-05-18,2.7,26.9,232
2021-05-19,0.2,27.5,249
2021-05-20,3.6,27.8,219
2021-05-21,3.3,27.7,240
2021-05-22,0.2,27.1,256
2021-05-23,0.0,27.3,212
2021-05-24,0.0,28.0,239
2021-05-25,1.0,28.1,239
2021-05-26,4.0,28.2,247
2021-05-27,1.2,28.0,217
2021-05-28,3.1,27.9,216
2021-05-29,2.2,27.9,243
2021-05-30,7.9,27.7,241
2021-05-31,3.9,27.2,242
2021-06-01,0.0,27.2,243
2021-06-02,0.9,27.9,227
2021-06-03,1.3,27.8,239
2021-06-04,2.9,27.4,239
2021-06-05,5.5,26.9,225
2021-06-06,2.0,27.2,262
2021-06-07,4.8,27.1,239
2021-06-08,2.6,27.0,187
2021-06-09,5.0,26.8,217
2021-06-10,1.5,26.6,193
2021-06-11,1.9,27.1,219
2021-06-12,1.0,27.1,225
2021-06-13,0.3,27.2,196
2021-06-14,0.7,27.8,224
2021-06-15,4.3,27.3,217
2021-06-16,0.7,27.0,223
2021-06-17,0.8,27.1,240
2021-06-18,6.3,26.9,208
2021-06-19,10.0,26.7,202
2021-06-20,19.4,25.4,200
2021-06-21,31.2,25.3,200
2021-06-22,5.3,26.0,211
2021-06-23,13.3,25.5,218
2021-06-24,7.8,25.0,217
2021-06-25,3.5,26.1,227
2021-06-26,9.8,24.9,213
2021-06-27,0.0,25.1,235
2021-06-28,10.4,26.0,210
2021-06-29,5.7,25.8,258
2021-06-30,6.2,26.0,231
2021-07-01,8.6,26.2,219
2021-07-02,4.6,26.0,218
2021-07-03,18.7,25.3,246
2021-07-04,8.9,25.4,238
2021-07-05,0.0,26.0,253
2021-07-06,5.0,26.1,251
2021-07-07,3.3,26.1,242
2021-07-08,7.6,25.6,232
2021-07-09,5.1,25.2,224
2021-07-10,1.1,25.3,240
2021-07-11,0.6,25.4,262
2021-07-12,0.8,25.5,254
2021-07-13,0.5,25.5,239
2021-07-14,1.8,25.6,264
2021-07-15,2.3,25.6,266
2021-07-16,25.3,24.7,248
2021-07-17,14.7,24.9,264
2021-07-18,0.0,25.3,265
2021-07-19,1.0,25.0,247
2021-07-20,1.2,25.3,266
2021-07-21,0.5,25.4,262
2021-07-22,1.5,25.2,258
2021-07-23,0.7,25.3,255
2021-07-24,0.5,25.1,214
2021-07-25,0.0,24.9,219
2021-07-26,0.0,25.0,249
2021-07-27,0.3,25.3,251
2021-07-28,0.0,25.2,251
2021-07-29,0.7,24.9,297
2021-07-30,0.5,25.2,246
2021-07-31,0.8,25.3,253
2021-08-01,1.0,25.3,247
2021-08-02,0.0,25.2,241
2021-08-03,0.5,25.5,220
2021-08-04,0.6,25.6,232
2021-08-05,1.4,25.2,209
2021-08-06,0.0,25.3,215
2021-08-07,2.0,25.6,210
2021-08-08,2.9,25.0,216
2021-08-09,0.2,25.1,248
2021-08-10,1.5,24.9,185
2021-08-11,0.9,24.8,223
2021-08-12,0.5,24.5,189
2021-08-13,1.2,24.8,206
2021-08-14,0.6,24.9,229
2021-08-15,0.4,25.1,213
2021-08-16,0.2,25.2,186
2021-08-17,0.3,25.4,186
2021-08-18,1.3,25.2,208
2021-08-19,1.7,25.0,187
2021-08-20,8.7,25.2,201
2021-08-21,11.0,24.5,199
2021-08-22,1.3,24.8,188
2021-08-23,9.1,25.1,230
2021-08-24,7.4,25.1,208
2021-08-25,1.7,25.5,168
2021-08-26,0.1,25.8,201
2021-08-27,4.5,26.1,188
2021-08-28,2.5,25.5,212
2021-08-29,7.4,25.7,187
2021-08-30,20.9,25.0,201
2021-08-31,1.9,25.4,214
2021-09-01,6.4,25.7,220
2021-09-02,68.9,24.2,192
2021-09-03,1.6,25.1,208
2021-09-04,12.7,24.9,206
2021-09-05,4.0,25.1,203
2021-09-06,0.5,25.0,241
2021-09-07,0.6,25.3,221
2021-09-08,0.4,25.4,198
2021-09-09,1.3,25.5,238
2021-09-10,3.2,25.3,257
2021-09-11,5.1,25.8,242
2021-09-12,0.6,25.4,231
2021-09-13,7.6,25.5,246
2021-09-14,2.9,24.9,277
2021-09-15,9.8,25.0,249
2021-09-16,10.9,25.5,267
2021-09-17,9.1,25.7,272
2021-09-18,4.9,25.5,246
2021-09-19,1.0,25.7,259
2021-09-20,0.9,26.1,209
2021-09-21,18.2,26.1,240
2021-09-22,9.4,25.1,251
2021-09-23,6.5,25.8,236
2021-09-24,12.6,26.0,277
2021-09-25,9.5,25.8,234
2021-09-26,4.6,25.5,253
2021-09-27,3.7,25.5,264
2021-09-28,5.7,25.9,284
2021-09-29,1.5,26.2,239
2021-09-30,2.7,26.2,270
2021-10-01,6.7,26.0,259
2021-10-02,3.2,26.2,245
2021-10-03,3.7,26.5,242
2021-10-04,1.7,26.6,243
2021-10-05,0.6,26.7,230
2021-10-06,15.8,25.7,240
2021-10-07,0.7,26.0,234
2021-10-08,0.1,26.7,244
2021-10-09,14.9,27.0,252
2021-10-10,8.1,26.2,267
2021-10-11,1.0,26.7,226
2021-10-12,1.0,27.0,276
2021-10-13,0.2,27.2,216
2021-10-14,4.1,26.9,240
2021-10-15,0.8,26.6,250
2021-10-16,2.0,27.0,248
2021-10-17,3.4,26.8,231
2021-10-18,10.2,25.5,233
2021-10-19,6.5,25.9,233
2021-10-20,8.5,26.1,234
2021-10-21,11.5,25.4,256
2021-10-22,7.4,25.9,242
2021-10-23,9.2,25.7,222
2021-10-24,4.7,25.4,245
2021-10-25,3.0,26.7,232
2021-10-26,3.0,25.9,237
2021-10-27,1.4,26.6,233
2021-10-28,2.4,26.7,214
2021-10-29,0.0,26.9,218
2021-10-30,5.2,26.8,241
2021-10-31,4.8,27.2,242
2021-11-01,1.5,26.8,233
2021-11-02,2.8,25.9,237
2021-11-03,0.2,26.6,255
2021-11-04,0.7,27.1,228
2021-11-05,11.0,25.9,246
2021-11-06,0.0,26.5,229
2021-11-07,11.7,26.6,229
2021-11-08,4.4,26.8,249
2021-11-09,9.6,26.6,241
2021-11-10,13.8,26.4,240
2021-11-11,1.9,26.9,247
2021-11-12,0.0,26.7,229
2021-11-13,2.0,27.1,238
2021-11-14,2.0,27.5,222
2021-11-15,8.4,27.5,236
2021-11-16,8.8,26.9,228
2021-11-17,3.5,27.7,235
2021-11-18,3.0,27.5,240
2021-11-19,2.4,26.9,220
2021-11-20,0.2,27.6,266
2021-11-21,0.9,27.9,216
2021-11-22,1.3,27.4,209
2021-11-23,1.4,27.5,242
2021-11-24,0.9,27.6,236
2021-11-25,0.2,27.7,235
2021-11-26,0.5,27.2,238
2021-11-27,0.6,27.3,229
2021-11-28,0.1,27.4,216
2021-11-29,0.6,27.0,231
2021-11-30,3.6,27.5,218
2021-12-01,1.1,27.4,241
2021-12-02,1.1,26.8,224
2021-12-03,0.7,27.6,214
2021-12-04,1.7,27.7,222
2021-12-05,0.6,27.7,232
2021-12-06,1.2,27.8,214
2021-12-07,0.5,27.7,210
2021-12-08,3.5,27.5,221
2021-12-09,0.1,27.2,220
2021-12-10,0.0,27.4,206
2021-12-11,0.7,27.3,202
2021-12-12,0.5,27.8,212
2021-12-13,0.4,27.6,187
2021-12-14,0.3,28.0,188
2021-12-15,2.0,28.1,197
2021-12-16,0.4,27.8,202
2021-12-17,0.1,27.8,207
2021-12-18,0.0,27.4,224
2021-12-19,0.0,26.9,214
2021-12-20,0.0,26.7,198
2021-12-21,0.0,27.2,200
2021-12-22,0.0,27.2,185
2021-12-23,0.0,27.0,200
2021-12-24,0.0,27.4,195
2021-12-25,0.0,27.9,205
2021-12-26,0.1,28.0,187
2021-12-27,0.9,28.0,208
2021-12-28,1.7,27.4,223
2021-12-29,0.7,27.9,198
2021-12-30,0.0,27.8,205
2021-12-31,1.3,27.9,208
2022-01-01,2.0,27.4,191
2022-01-02,1.4,27.3,200
2022-01-03,1.5,27.1,197
2022-01-04,0.9,26.5,197
2022-01-05,0.1,27.2,184
2022-01-06,0.0,27.2,196
2022-01-07,0.0,28.0,204
2022-01-08,2.1,27.9,217
2022-01-09,0.3,27.8,209
2022-01-10,0.0,27.4,228
2022-01-11,0.7,27.8,185
2022-01-12,1.5,28.0,210
2022-01-13,2.0,27.0,200
2022-01-14,1.8,27.2,230
2022-01-15,0.0,27.5,184
2022-01-16,0.0,27.6,184
2022-01-17,0.0,27.0,187
2022-01-18,2.0,27.1,165
2022-01-19,0.0,27.0,189
2022-01-20,0.0,27.2,186
2022-01-21,0.0,26.4,200
2022-01-22,0.0,26.6,203
2022-01-23,0.0,26.5,227
2022-01-24,0.0,26.9,214
2022-01-25,0.0,26.8,191
2022-01-26,0.0,25.9,186
2022-01-27,0.0,26.5,206
2022-01-28,0.5,27.1,179
2022-01-29,0.0,27.2,226
2022-01-30,0.0,26.0,217
2022-01-31,0.0,25.6,191
2022-02-01,0.0,26.0,172
2022-02-02,0.0,26.1,217
2022-02-03,2.2,27.1,195
2022-02-04,0.4,27.6,215
2022-02-05,0.2,27.3,172
2022-02-06,0.0,27.5,187
2022-02-07,0.1,27.5,196
2022-02-08,0.4,27.7,196
2022-02-09,0.7,27.8,189
2022-02-10,0.1,27.6,205
2022-02-11,1.0,27.6,179
2022-02-12,2.9,26.8,192
2022-02-13,2.9,27.7,196
2022-02-14,2.2,27.7,202
2022-02-15,2.2,28.0,205
2022-02-16,0.0,27.6,177
2022-02-17,1.3,27.4,171
2022-02-18,0.0,27.6,213
2022-02-19,2.1,27.3,199
2022-02-20,1.8,27.4,183
2022-02-21,0.0,27.2,217
2022-02-22,0.3,27.4,197
2022-02-23,0.3,27.6,214
2022-02-24,0.0,27.5,198
2022-02-25,0.0,27.7,229
2022-02-26,0.0,27.8,225
2022-02-27,1.2,27.8,195
2022-02-28,0.0,27.7,213
2022-03-01,0.0,28.3,209
2022-03-02,7.7,28.1,221
2022-03-03,1.2,27.7,186
2022-03-04,2.0,27.7,210
2022-03-05,0.0,27.4,216
2022-03-06,0.4,27.8,173
2022-03-07,0.0,28.0,181
2022-03-08,0.0,28.4,169
2022-03-09,0.8,28.3,196
2022-03-10,0.4,28.0,210
2022-03-11,1.0,28.0,222
2022-03-12,0.6,27.9,203
2022-03-13,2.8,27.9,227
2022-03-14,0.9,28.0,182
2022-03-15,0.6,28.0,176
2022-03-16,0.0,28.3,200
2022-03-17,1.1,28.6,206
2022-03-18,0.0,28.7,199
2022-03-19,3.3,28.8,168
2022-03-20,0.3,28.3,198
2022-03-21,0.2,28.5,180
2022-03-22,2.2,27.7,209
2022-03-23,0.0,28.5,205
2022-03-24,4.3,27.8,186
2022-03-25,0.1,28.5,192
2022-03-26,1.9,28.6,184
2022-03-27,0.2,28.7,199
2022-03-28,1.1,28.7,214
2022-03-29,2.5,29.0,187
2022-03-30,2.8,28.7,209
2022-03-31,1.7,29.1,193
2022-04-01,3.2,28.2,190
2022-04-02,0.9,28.2,197
2022-04-03,3.7,28.2,185
2022-04-04,1.6,27.9,191
2022-04-05,1.8,28.2,182
2022-04-06,1.5,27.8,230
2022-04-07,0.6,27.5,201
2022-04-08,0.4,28.0,191
2022-04-09,0.2,27.5,205
2022-04-10,0.0,27.7,201
2022-04-11,0.3,28.3,200
2022-04-12,11.1,27.1,213
2022-04-13,0.6,26.8,215
2022-04-14,9.9,26.7,196
2022-04-15,1.3,27.8,196
2022-04-16,23.3,26.3,201
2022-04-17,0.8,27.7,171
2022-04-18,8.9,25.8,183
2022-04-19,0.3,27.1,225
2022-04-20,0.0,27.9,229
2022-04-21,3.8,27.3,200
2022-04-22,0.0,27.8,216
2022-04-23,0.9,28.0,213
2022-04-24,4.5,27.0,256
2022-04-25,0.0,26.9,227
2022-04-26,0.7,27.5,217
2022-04-27,6.7,27.2,205
2022-04-28,6.2,26.5,198
2022-04-29,0.0,27.6,224
2022-04-30,0.3,26.7,209
2022-05-01,0.3,27.8,200
2022-05-02,1.1,28.1,210
2022-05-03,0.0,27.9,204
2022-05-04,8.2,27.5,245
2022-05-05,0.4,27.5,233
2022-05-06,1.0,26.9,219
2022-05-07,4.1,26.4,243
2022-05-08,0.6,27.4,224
2022-05-09,1.3,27.5,210
2022-05-10,1.6,27.3,246
2022-05-11,1.9,27.7,231
2022-05-12,1.1,27.6,208
2022-05-13,0.5,27.7,216
2022-05-14,1.0,27.8,209
2022-05-15,0.4,27.2,198
2022-05-16,0.3,27.8,232
2022-05-17,0.2,27.1,239
2022-05-18,0.0,28.0,190
2022-05-19,5.3,26.9,216
2022-05-20,7.4,26.7,199
2022-05-21,18.7,25.5,202
2022-05-22,12.8,25.8,199
2022-05-23,14.5,26.1,195
2022-05-24,37.7,25.5,209
2022-05-25,10.7,26.0,194
2022-05-26,7.8,26.2,211
2022-05-27,3.4,26.4,206
2022-05-28,0.3,26.8,200
2022-05-29,0.1,27.1,190
2022-05-30,1.4,26.8,198
2022-05-31,6.9,26.5,225
2022-06-01,0.1,26.7,226
2022-06-02,0.6,27.5,209
2022-06-03,16.8,26.0,240
2022-06-04,18.5,26.1,251
2022-06-05,19.1,25.4,217
2022-06-06,13.4,25.2,252
2022-06-07,0.0,26.5,232
2022-06-08,5.1,26.7,250
2022-06-09,3.0,27.0,230
2022-06-10,4.1,26.1,217
2022-06-11,17.5,25.4,219
2022-06-12,0.0,26.1,244
2022-06-13,0.5,26.6,253
2022-06-14,7.4,26.9,243
2022-06-15,43.9,24.5,273
2022-06-16,17.9,24.6,244
2022-06-17,17.3,24.6,267
2022-06-18,25.4,24.2,252
2022-06-19,1.5,24.9,260
2022-06-20,5.8,25.9,269
2022-06-21,5.3,25.1,255
2022-06-22,5.2,24.6,257
2022-06-23,2.4,25.4,272
2022-06-24,9.4,25.2,237
2022-06-25,0.5,25.4,271
2022-06-26,12.8,25.4,245
2022-06-27,0.5,25.9,276
2022-06-28,1.2,25.9,299
2022-06-29,10.5,25.9,241
2022-06-30,8.4,24.2,268
2022-07-01,3.7,25.0,288
2022-07-02,1.6,25.7,278
2022-07-03,0.4,25.5,288
2022-07-04,15.3,25.4,270
2022-07-05,9.3,25.1,273
2022-07-06,0.5,25.3,267
2022-07-07,3.8,25.6,282
2022-07-08,15.9,25.3,269
2022-07-09,20.8,25.0,272
2022-07-10,2.7,25.2,263
2022-07-11,1.8,25.4,262
2022-07-12,1.4,25.0,256
2022-07-13,0.6,25.1,269
2022-07-14,0.5,25.2,263
2022-07-15,0.8,25.2,274
2022-07-16,2.3,25.1,284
2022-07-17,1.0,25.1,260
2022-07-18,1.1,24.7,242
2022-07-19,0.8,24.7,263
2022-07-20,0.2,24.5,239
2022-07-21,0.0,24.5,213
2022-07-22,0.0,24.7,227
2022-07-23,0.5,25.0,212
2022-07-24,0.4,24.9,234
2022-07-25,0.0,24.9,236
2022-07-26,15.1,24.3,262
2022-07-27,0.2,24.8,237
2022-07-28,0.4,25.2,229
2022-07-29,0.1,24.7,245
2022-07-30,0.1,24.6,195
2022-07-31,0.3,24.5,229
2022-08-01,2.3,23.6,235
2022-08-02,0.0,23.3,201
2022-08-03,0.0,23.5,240
