date_inscription,age,genre,region,type_abonnement,depense_mensuelle,nb_commandes_mois_dernier,nb_retours,jours_depuis_derniere_commande,score_satisfaction,churn
2023-01-01,67,Femme,Maritime,Premium,35.89,2,0,163,6.1,1
2023-01-02,35,Homme,Maritime,Premium,40.84,3,0,134,5.9,0
2023-01-02,52,Femme,Kara,Premium,40.56,3,0,80,5.2,1
2023-01-02,68,Femme,Centrale,Premium,19.1,3,0,166,4.5,0
2023-01-02,30,Homme,Centrale,Standard,22.39,0,2,157,5.6,0
2023-01-03,29,Homme,Savanes,Standard,10.08,2,1,26,5.3,0
2023-01-03,27,Femme,Maritime,Premium,53.3,3,0,57,5.4,0
2023-01-03,52,Homme,Maritime,Premium,31.57,2,1,77,5.7,0
2023-01-04,41,Femme,Savanes,Standard,48.51,2,0,141,5.3,0
2023-01-04,28,Homme,Centrale,Standard,43.88,2,1,106,5.5,0
2023-01-04,36,Femme,Maritime,Standard,38.16,4,0,125,4.8,0
2023-01-04,41,Femme,Plateaux,Premium,60.54,5,0,77,4.2,0
2023-01-04,27,Femme,Maritime,Standard,41.47,5,0,135,7.7,0
2023-01-04,33,Femme,Plateaux,VIP,73.79,5,0,158,3.9,0
2023-01-04,44,Homme,Maritime,Premium,67.34,7,0,178,4.3,0
2023-01-04,51,Femme,Maritime,Standard,3.12,1,0,22,7.0,0
2023-01-05,42,Homme,Kara,Standard,17.24,2,0,51,6.8,0
2023-01-06,69,Homme,Maritime,Premium,19.1,0,0,165,6.5,0
2023-01-06,54,Homme,Maritime,VIP,93.29,6,0,56,6.4,0
2023-01-06,58,Femme,Maritime,Standard,53.21,5,0,66,6.2,0
2023-01-06,24,Homme,Kara,Premium,23.98,3,0,59,4.1,1
2023-01-06,61,Homme,Plateaux,Premium,53.82,5,0,76,4.7,0
2023-01-07,23,Homme,Plateaux,Standard,45.72,7,0,115,7.3,1
2023-01-07,21,Femme,Maritime,VIP,101.25,9,0,75,4.0,0
2023-01-07,69,Homme,Kara,Standard,48.55,5,0,166,5.5,0
2023-01-08,47,Homme,Savanes,VIP,36.34,3,1,81,4.9,0
2023-01-08,21,Femme,Maritime,Standard,10.17,1,1,89,6.5,0
2023-01-08,47,Homme,Maritime,Premium,36.93,4,0,103,5.7,0
2023-01-09,59,Femme,Maritime,Standard,4.7,1,1,50,5.9,0
2023-01-09,61,Femme,Centrale,Standard,49.9,5,0,126,7.0,1
2023-01-10,19,Femme,Maritime,Premium,44.44,5,0,23,7.1,0
2023-01-11,26,Femme,Kara,Standard,11.57,2,0,102,5.5,1
2023-01-11,29,Femme,Kara,Standard,46.12,4,0,62,7.2,0
2023-01-11,19,Homme,Maritime,Premium,70.0,7,0,41,6.9,0
2023-01-11,50,Femme,Savanes,Standard,30.63,2,0,45,6.3,0
2023-01-12,25,Homme,Savanes,Premium,27.64,3,0,83,5.5,0
2023-01-13,40,Femme,Kara,Standard,45.98,4,0,125,5.8,0
2023-01-13,56,Homme,Maritime,Standard,38.42,3,0,76,5.3,0
2023-01-14,37,Homme,Maritime,Premium,30.87,3,0,145,3.9,0
2023-01-14,47,Femme,Maritime,Premium,49.32,5,0,72,7.5,0
2023-01-14,27,Homme,Savanes,Standard,29.33,2,2,28,5.1,0
2023-01-14,21,Femme,Kara,VIP,50.69,4,0,164,5.6,0
2023-01-15,66,Femme,Plateaux,Standard,30.4,3,1,91,5.5,0
2023-01-16,43,Femme,Maritime,Standard,23.39,3,0,135,4.9,0
2023-01-16,27,Homme,Maritime,Standard,2.0,0,0,118,4.5,1
2023-01-16,64,Homme,Maritime,Standard,24.13,1,0,66,8.4,0
2023-01-17,26,Femme,Maritime,Premium,63.83,5,0,75,4.9,0
2023-01-17,56,Femme,Maritime,Premium,23.86,3,0,172,3.4,1
2023-01-17,68,Femme,Centrale,Standard,25.35,0,1,36,5.2,0
2023-01-17,34,Femme,Plateaux,Premium,42.44,3,0,93,6.2,0
2023-01-17,40,Homme,Maritime,Standard,14.02,2,0,43,7.7,0
2023-01-18,23,Femme,Savanes,Premium,30.75,2,0,68,5.8,0
2023-01-18,46,Femme,Kara,Premium,65.62,6,0,120,5.6,0
2023-01-19,26,Homme,Kara,Standard,31.49,4,0,57,7.4,0
2023-01-19,42,Femme,Maritime,Standard,15.78,0,0,48,8.2,0
2023-01-19,18,Femme,Maritime,Standard,23.69,2,0,132,4.3,0
2023-01-19,57,Femme,Savanes,VIP,65.41,4,0,156,5.0,0
2023-01-22,24,Homme,Centrale,Premium,28.38,2,0,99,4.0,1
2023-01-22,65,Femme,Kara,Standard,44.05,2,0,166,7.1,0
2023-01-22,37,Homme,Savanes,Premium,52.93,5,1,150,2.8,0
2023-01-22,68,Femme,Savanes,Standard,23.36,3,0,49,6.4,0
2023-01-22,59,Femme,Centrale,VIP,88.77,7,0,129,7.8,0
2023-01-23,21,Femme,Maritime,Standard,43.1,3,0,160,5.7,1
2023-01-23,19,Homme,Maritime,Standard,51.87,6,0,34,6.8,0
2023-01-23,29,Femme,Plateaux,Premium,54.62,6,0,92,8.3,0
2023-01-24,27,Homme,Maritime,Standard,13.08,0,0,157,5.8,1
2023-01-24,32,Femme,Savanes,Premium,37.13,5,0,46,5.4,0
2023-01-26,29,Homme,Kara,Standard,25.22,3,1,115,6.0,0
2023-01-26,27,Homme,Centrale,Premium,40.67,2,0,17,7.0,0
2023-01-26,25,Homme,Kara,Standard,27.52,1,1,40,5.0,0
2023-01-27,51,Femme,Plateaux,Premium,55.37,5,0,74,4.1,0
2023-01-27,51,Femme,Maritime,Premium,36.34,4,0,174,2.6,0
2023-01-27,28,Femme,Centrale,VIP,56.98,4,1,154,4.6,0
2023-01-27,43,Homme,Centrale,Standard,33.15,2,1,168,2.9,0
2023-01-27,55,Homme,Plateaux,Standard,71.3,5,0,175,5.7,0
2023-01-28,67,Homme,Maritime,Premium,50.4,6,1,28,4.8,0
2023-01-28,26,Homme,Kara,VIP,97.02,9,0,113,5.7,0
2023-01-30,20,Femme,Centrale,Standard,36.38,2,1,109,3.3,0
2023-01-30,20,Femme,Savanes,Standard,40.68,0,1,135,4.5,1
2023-01-30,28,Femme,Plateaux,Standard,20.87,1,0,27,6.7,0
2023-01-31,40,Homme,Plateaux,Premium,53.84,3,1,111,4.7,1
2023-01-31,27,Femme,Centrale,Premium,21.03,3,0,53,8.3,0
2023-01-31,49,Femme,Maritime,Premium,59.93,6,0,116,5.1,0
2023-01-31,59,Femme,Kara,Standard,39.74,2,0,48,6.2,0
2023-02-01,36,Homme,Plateaux,Standard,8.97,1,0,74,5.7,0
2023-02-01,53,Femme,Plateaux,Standard,17.64,2,0,133,4.7,1
2023-02-01,20,Femme,Plateaux,Premium,40.03,3,1,125,2.9,0
2023-02-01,37,Homme,Plateaux,Standard,41.93,2,0,68,7.1,0
2023-02-02,62,Homme,Centrale,Premium,33.77,3,0,39,8.3,0
2023-02-02,57,Femme,Maritime,Premium,54.29,4,0,138,8.0,0
2023-02-02,67,Homme,Maritime,Standard,27.26,1,0,21,5.7,0
2023-02-02,44,Homme,Plateaux,Standard,39.93,3,0,62,7.0,0
2023-02-02,30,Homme,Plateaux,Premium,36.89,3,0,87,7.5,0
2023-02-04,63,Femme,Maritime,Premium,52.03,4,0,94,5.1,0
2023-02-04,29,Homme,Plateaux,VIP,82.57,5,0,60,4.1,0
2023-02-04,20,Homme,Maritime,Standard,9.91,2,0,52,3.9,0
2023-02-05,64,Femme,Maritime,Premium,17.68,1,0,8,7.5,0
2023-02-05,69,Femme,Kara,Standard,26.79,3,0,97,4.8,1
2023-02-05,38,Femme,Plateaux,Premium,47.76,3,1,157,4.8,1
2023-02-05,42,Femme,Maritime,Standard,22.26,2,0,113,4.1,0
2023-02-06,24,Homme,Maritime,Premium,67.35,7,0,154,3.7,0
2023-02-06,66,Homme,Maritime,Premium,45.24,4,1,126,5.4,0
2023-02-06,54,Femme,Plateaux,Standard,27.14,2,0,51,5.8,0
2023-02-07,38,Homme,Centrale,Standard,30.4,4,1,8,8.1,0
2023-02-07,39,Homme,Maritime,Premium,45.45,5,0,78,5.6,0
2023-02-07,41,Femme,Centrale,Standard,36.1,4,0,106,5.5,0
2023-02-07,52,Femme,Centrale,Premium,57.15,4,0,101,5.7,0
2023-02-07,20,Homme,Savanes,Standard,27.12,3,0,173,4.4,1
2023-02-08,66,Femme,Savanes,Standard,19.49,1,0,100,7.5,0
2023-02-08,38,Femme,Plateaux,Standard,9.3,1,0,70,4.6,0
2023-02-09,52,Femme,Maritime,Standard,37.3,3,0,110,6.4,0
2023-02-09,50,Femme,Plateaux,Premium,40.18,3,0,83,6.0,0
2023-02-10,56,Femme,Plateaux,Standard,31.5,2,0,129,6.6,0
2023-02-10,68,Femme,Plateaux,Standard,50.24,4,1,69,7.2,0
2023-02-10,50,Homme,Savanes,Premium,76.77,6,0,45,7.3,0
2023-02-10,36,Femme,Maritime,VIP,75.93,6,0,82,4.9,0
2023-02-11,46,Homme,Kara,Premium,69.96,5,1,66,7.0,0
2023-02-11,66,Homme,Plateaux,Standard,12.23,1,0,111,5.2,1
2023-02-11,58,Femme,Plateaux,Standard,18.81,1,0,71,4.9,0
2023-02-12,62,Homme,Maritime,Standard,38.41,3,0,156,2.7,0
2023-02-12,18,Homme,Maritime,Standard,60.78,6,1,161,5.7,0
2023-02-13,57,Femme,Maritime,VIP,90.05,9,0,23,7.3,0
2023-02-14,21,Homme,Maritime,Standard,33.48,4,1,11,6.1,0
2023-02-14,52,Femme,Maritime,Premium,61.34,6,0,79,4.4,0
2023-02-14,26,Homme,Maritime,Premium,42.6,3,1,135,5.3,0
2023-02-14,63,Homme,Maritime,Premium,43.91,3,1,28,7.6,0
2023-02-14,25,Femme,Maritime,Premium,63.54,5,0,14,7.5,0
2023-02-16,61,Homme,Centrale,Standard,53.2,4,0,26,5.2,0
2023-02-17,62,Homme,Maritime,Premium,39.39,3,0,16,7.0,0
2023-02-17,37,Femme,Maritime,Standard,27.94,3,0,67,8.9,0
2023-02-18,23,Homme,Maritime,VIP,54.38,3,0,6,8.6,0
2023-02-18,45,Homme,Maritime,Standard,38.34,3,1,90,5.4,0
2023-02-19,67,Homme,Plateaux,Standard,23.77,3,0,1,6.5,0
2023-02-19,32,Homme,Centrale,Standard,47.38,5,0,157,4.8,1
2023-02-19,60,Homme,Maritime,Premium,42.38,3,0,60,6.3,0
2023-02-19,56,Femme,Plateaux,Premium,54.91,4,1,48,5.4,0
2023-02-21,59,Femme,Maritime,Standard,54.27,3,0,16,7.8,0
2023-02-22,52,Homme,Centrale,VIP,64.48,6,0,108,7.2,0
2023-02-22,24,Homme,Maritime,Premium,22.54,1,1,107,4.9,0
2023-02-22,55,Homme,Maritime,Standard,32.05,2,1,64,5.4,0
2023-02-22,52,Homme,Kara,Standard,35.07,3,2,64,4.4,0
2023-02-24,47,Femme,Plateaux,Standard,31.91,4,1,107,4.7,1
2023-02-24,30,Homme,Maritime,Premium,67.35,4,0,58,4.2,0
2023-02-24,26,Femme,Maritime,Standard,67.2,6,0,177,5.3,0
2023-02-25,35,Femme,Centrale,Standard,17.25,3,2,168,3.6,1
2023-02-25,58,Homme,Kara,Standard,42.78,4,0,165,6.6,0
2023-02-26,23,Homme,Centrale,Standard,4.61,1,0,153,5.9,0
2023-02-27,34,Homme,Plateaux,Standard,40.6,4,1,23,4.8,0
2023-02-27,59,Femme,Maritime,Premium,52.48,5,0,25,5.2,0
2023-02-27,53,Femme,Savanes,VIP,79.83,7,0,37,7.1,0
2023-02-27,41,Homme,Maritime,Standard,60.27,5,0,69,6.6,0
2023-02-28,57,Homme,Maritime,Standard,17.55,1,0,100,6.8,0
2023-03-01,61,Homme,Maritime,VIP,76.32,5,0,67,7.9,0
2023-03-01,56,Homme,Maritime,VIP,65.1,6,0,133,5.2,0
2023-03-02,69,Femme,Maritime,Standard,13.95,0,0,143,3.8,1
