date,temperature_c,precipitations_mm,cas_paludisme,nb_accidents,nb_accouchements,demande_sang
2021-01-01,24.8,3.4,33,0,19,75.6
2021-01-02,24.4,1.3,30,3,3,58.8
2021-01-03,25.0,2.7,34,3,10,63.4
2021-01-04,25.8,0.0,30,4,11,69.4
2021-01-05,24.4,3.0,30,3,12,68.1
2021-01-06,24.4,7.3,26,3,15,72.4
2021-01-07,25.9,2.8,30,2,9,68.5
2021-01-08,25.3,6.2,33,2,10,70.9
2021-01-09,24.3,3.9,31,7,12,68.5
2021-01-10,25.2,0.4,27,4,11,66.3
2021-01-11,24.4,7.0,30,1,23,67.3
2021-01-12,24.4,0.2,30,4,15,74.6
2021-01-13,25.0,2.3,29,5,11,77.1
2021-01-14,23.3,0.5,31,4,9,65.1
2021-01-15,23.5,0.0,30,2,8,69.6
2021-01-16,24.5,1.6,31,7,15,71.3
2021-01-17,24.2,1.0,30,5,11,72.0
2021-01-18,25.3,2.0,29,1,6,65.7
2021-01-19,24.3,2.6,32,9,8,77.7
2021-01-20,24.0,0.1,30,5,16,76.0
2021-01-21,26.3,0.4,32,4,11,77.7
2021-01-22,25.0,2.5,24,4,10,70.4
2021-01-23,25.3,1.3,20,2,9,58.0
2021-01-24,24.1,3.9,25,4,12,67.0
2021-01-25,24.9,3.2,19,5,11,67.5
2021-01-26,25.4,5.6,21,2,11,67.0
2021-01-27,24.5,3.5,27,3,17,71.5
2021-01-28,25.7,1.7,28,4,6,65.4
2021-01-29,25.0,3.4,27,3,14,72.2
2021-01-30,25.3,1.0,23,8,15,72.4
2021-01-31,25.1,1.1,18,6,14,71.9
2021-02-01,27.1,4.7,24,4,21,74.1
2021-02-02,25.6,1.8,20,3,13,60.5
2021-02-03,24.9,4.8,19,5,15,70.0
2021-02-04,26.4,5.2,21,1,11,58.9
2021-02-05,24.8,5.8,17,6,13,72.4
2021-02-06,26.0,7.5,21,5,9,57.9
2021-02-07,24.3,1.7,18,7,20,68.4
2021-02-08,24.9,1.2,23,2,11,65.8
2021-02-09,26.1,2.6,20,6,12,77.4
2021-02-10,26.6,1.4,20,7,9,66.2
2021-02-11,26.2,2.8,17,3,16,69.3
2021-02-12,26.0,3.7,23,0,9,66.2
2021-02-13,25.9,3.5,22,10,7,75.3
2021-02-14,25.1,1.4,26,14,9,79.5
2021-02-15,25.7,0.5,24,5,11,75.3
2021-02-16,26.0,1.7,26,3,13,74.1
2021-02-17,27.2,0.5,22,5,14,67.2
2021-02-18,26.7,6.6,21,0,12,66.5
2021-02-19,25.1,1.3,25,2,13,72.6
2021-02-20,26.8,0.5,21,7,14,66.1
2021-02-21,26.3,0.1,21,5,8,61.8
2021-02-22,26.1,3.1,27,5,15,71.3
2021-02-23,27.2,3.0,21,2,9,68.6
2021-02-24,27.6,1.2,21,3,7,65.1
2021-02-25,27.5,0.2,23,6,11,70.5
2021-02-26,26.2,1.6,24,8,15,71.6
2021-02-27,26.6,1.1,28,3,15,68.4
2021-02-28,27.2,3.4,26,4,10,63.8
2021-03-01,27.8,2.8,19,4,10,68.6
2021-03-02,26.7,1.4,22,3,10,63.0
2021-03-03,27.0,0.7,19,4,11,69.0
2021-03-04,26.3,13.3,20,5,13,69.2
2021-03-05,26.2,1.8,22,6,9,65.3
2021-03-06,27.9,3.5,27,7,9,63.9
2021-03-07,28.4,0.5,20,7,7,60.8
2021-03-08,27.3,2.0,20,5,7,66.5
2021-03-09,28.2,0.1,25,4,7,68.5
2021-03-10,27.8,2.1,23,4,6,67.8
2021-03-11,27.0,10.0,26,7,14,77.1
2021-03-12,27.9,1.5,19,3,17,67.8
2021-03-13,28.8,0.1,24,7,8,71.8
2021-03-14,27.6,0.1,17,6,10,63.5
2021-03-15,29.0,1.5,26,2,7,68.0
2021-03-16,25.7,0.5,25,5,13,72.1
2021-03-17,28.5,0.1,22,6,18,77.4
2021-03-18,27.9,4.2,24,3,15,70.6
2021-03-19,27.7,1.8,19,4,9,68.8
2021-03-20,28.0,1.0,22,7,12,69.4
2021-03-21,26.4,6.9,25,6,10,71.4
2021-03-22,27.9,0.4,25,2,7,62.7
2021-03-23,28.4,9.4,21,4,12,62.7
2021-03-24,29.3,1.1,21,6,16,70.5
2021-03-25,27.8,6.6,28,5,12,77.6
2021-03-26,27.6,2.8,24,2,8,65.6
2021-03-27,27.9,5.3,22,3,15,67.2
2021-03-28,29.1,12.4,22,7,15,67.0
2021-03-29,28.7,1.0,22,3,8,66.9
2021-03-30,28.0,9.7,20,6,11,67.0
2021-03-31,28.9,1.5,20,3,6,61.3
2021-04-01,28.6,1.9,29,2,11,68.2
2021-04-02,29.3,2.1,21,3,12,70.5
2021-04-03,28.1,3.6,19,8,19,76.0
