student_id,course_id,note
ETU1000,MAT101,6.03
ETU1000,PHY101,6.54
ETU1000,PROG101,8.0
ETU1000,STAT101,10.48
ETU1000,ANG101,8.31
ETU1000,DATA101,9.38
ETU1000,ALG101,3.29
ETU1000,ELEC101,8.72
ETU1000,GEST101,6.62
ETU1000,PROJ101,6.35
ETU1001,MAT101,12.16
ETU1001,PHY101,12.68
ETU1001,PROG101,18.54
ETU1001,STAT101,14.75
ETU1001,ANG101,13.99
ETU1001,DATA101,16.57
ETU1001,ALG101,13.56
ETU1001,ELEC101,15.08
ETU1001,GEST101,13.7
ETU1001,PROJ101,19.06
ETU1002,MAT101,5.8
ETU1002,PHY101,9.85
ETU1002,PROG101,8.35
ETU1002,STAT101,11.39
ETU1002,ANG101,10.48
ETU1002,DATA101,10.43
ETU1002,ALG101,11.91
ETU1002,ELEC101,13.58
ETU1002,GEST101,14.32
ETU1002,PROJ101,10.09
ETU1003,MAT101,14.07
ETU1003,PHY101,12.27
ETU1003,PROG101,11.58
ETU1003,STAT101,12.87
ETU1003,ANG101,18.29
ETU1003,DATA101,17.01
ETU1003,ALG101,14.26
ETU1003,ELEC101,9.78
ETU1003,GEST101,14.46
ETU1003,PROJ101,13.56
ETU1004,MAT101,7.36
ETU1004,PHY101,9.54
ETU1004,PROG101,12.74
ETU1004,STAT101,11.09
ETU1004,ANG101,9.22
ETU1004,DATA101,11.51
ETU1004,ALG101,6.46
ETU1004,ELEC101,5.85
ETU1004,GEST101,6.91
ETU1004,PROJ101,11.58
ETU1005,MAT101,13.54
ETU1005,PHY101,13.18
ETU1005,PROG101,10.44
ETU1005,STAT101,7.53
ETU1005,ANG101,11.12
ETU1005,DATA101,10.3
ETU1005,ALG101,12.0
ETU1005,ELEC101,11.57
ETU1005,GEST101,12.44
ETU1005,PROJ101,14.21
ETU1006,MAT101,17.4
ETU1006,PHY101,11.35
ETU1006,PROG101,13.36
ETU1006,STAT101,12.4
ETU1006,ANG101,12.42
ETU1006,DATA101,14.15
ETU1006,ALG101,11.75
ETU1006,ELEC101,10.3
ETU1006,GEST101,11.84
ETU1006,PROJ101,15.68
ETU1007,MAT101,11.98
ETU1007,PHY101,9.51
ETU1007,PROG101,12.42
ETU1007,STAT101,11.11
ETU1007,ANG101,12.88
ETU1007,DATA101,10.35
ETU1007,ALG101,8.89
ETU1007,ELEC101,10.03
ETU1007,GEST101,10.2
ETU1007,PROJ101,10.46
ETU1008,MAT101,9.47
ETU1008,PHY101,7.53
ETU1008,PROG101,12.0
ETU1008,STAT101,14.93
ETU1008,ANG101,15.53
ETU1008,DATA101,16.52
ETU1008,ALG101,10.43
ETU1008,ELEC101,13.42
ETU1008,GEST101,13.2
ETU1008,PROJ101,12.38
ETU1009,MAT101,12.61
ETU1009,PHY101,9.97
ETU1009,PROG101,7.66
ETU1009,STAT101,12.56
ETU1009,ANG101,12.78
ETU1009,DATA101,11.56
ETU1009,ALG101,8.31
ETU1009,ELEC101,10.8
ETU1009,GEST101,14.81
ETU1009,PROJ101,12.82
ETU1010,MAT101,
ETU1010,PHY101,10.08
ETU1010,PROG101,10.94
ETU1010,STAT101,11.36
ETU1010,ANG101,11.68
ETU1010,DATA101,8.38
ETU1010,ALG101,9.86
ETU1010,ELEC101,8.77
ETU1010,GEST101,11.1
ETU1010,PROJ101,13.3
ETU1011,MAT101,14.03
ETU1011,PHY101,18.91
ETU1011,PROG101,16.93
ETU1011,STAT101,17.44
ETU1011,ANG101,18.33
ETU1011,DATA101,16.94
ETU1011,ALG101,16.73
ETU1011,ELEC101,8.82
ETU1011,GEST101,18.02
ETU1011,PROJ101,15.19
ETU1012,MAT101,13.81
ETU1012,PHY101,14.38
ETU1012,PROG101,16.92
ETU1012,STAT101,12.44
ETU1012,ANG101,14.53
ETU1012,DATA101,14.09
