student_id,semestre,taux_presence,absences,retards
ETU1000,S1,88.22,6,3
ETU1000,S2,79.11,10,6
ETU1001,S1,98.29,1,2
ETU1001,S2,92.43,4,4
ETU1002,S1,77.95,11,1
ETU1002,S2,90.05,5,2
ETU1003,S1,100.0,0,6
ETU1003,S2,79.01,10,1
ETU1004,S1,86.01,7,4
ETU1004,S2,67.2,16,3
ETU1005,S1,94.14,3,5
ETU1005,S2,89.77,5,4
ETU1006,S1,92.48,4,7
ETU1006,S2,63.58,18,5
ETU1007,S1,79.4,10,0
ETU1007,S2,69.86,15,2
ETU1008,S1,84.24,8,2
ETU1008,S2,78.04,11,4
ETU1009,S1,72.82,14,3
ETU1009,S2,83.87,8,3
ETU1010,S1,97.96,1,2
ETU1010,S2,76.3,12,2
ETU1011,S1,94.69,3,3
ETU1011,S2,100.0,0,4
ETU1012,S1,87.49,6,2
ETU1012,S2,76.63,12,3
ETU1013,S1,100.0,0,1
ETU1013,S2,82.39,9,6
ETU1014,S1,92.42,4,5
ETU1014,S2,84.16,8,4
ETU1015,S1,78.79,11,1
ETU1015,S2,100.0,0,2
ETU1016,S1,78.98,11,0
ETU1016,S2,60.26,20,6
ETU1017,S1,70.23,15,3
ETU1017,S2,66.24,17,6
ETU1018,S1,93.37,3,2
ETU1018,S2,75.26,12,4
ETU1019,S1,84.69,8,1
ETU1019,S2,90.85,5,5
ETU1020,S1,58.15,21,4
ETU1020,S2,88.24,6,3
ETU1021,S1,82.72,9,2
ETU1021,S2,69.92,15,1
ETU1022,S1,95.27,2,2
ETU1022,S2,95.6,2,1
ETU1023,S1,77.48,11,2
ETU1023,S2,66.93,17,2
ETU1024,S1,87.23,6,3
ETU1024,S2,93.36,3,1
ETU1025,S1,78.48,11,2
ETU1025,S2,57.63,21,3
ETU1026,S1,98.75,1,4
ETU1026,S2,85.6,7,2
ETU1027,S1,72.92,14,1
ETU1027,S2,71.71,14,3
ETU1028,S1,72.09,14,3
ETU1028,S2,70.43,15,0
ETU1029,S1,87.64,6,2
ETU1029,S2,94.55,3,4
ETU1030,S1,62.06,19,3
ETU1030,S2,86.07,7,2
ETU1031,S1,100.0,0,3
ETU1031,S2,65.43,17,5
ETU1032,S1,94.59,3,3
ETU1032,S2,85.81,7,1
ETU1033,S1,95.49,2,3
ETU1033,S2,89.52,5,2
ETU1034,S1,67.61,16,2
ETU1034,S2,88.54,6,2
ETU1035,S1,100.0,0,1
ETU1035,S2,100.0,0,6
ETU1036,S1,86.75,7,3
ETU1036,S2,100.0,0,3
ETU1037,S1,85.37,7,4
ETU1037,S2,100.0,0,4
ETU1038,S1,91.23,4,5
ETU1038,S2,83.22,8,3
ETU1039,S1,69.0,15,3
ETU1039,S2,86.2,7,6
ETU1040,S1,73.02,13,2
ETU1040,S2,64.24,18,2
ETU1041,S1,79.69,10,2
ETU1041,S2,83.14,8,3
ETU1042,S1,70.09,15,3
ETU1042,S2,72.83,14,3
ETU1043,S1,68.48,16,4
ETU1043,S2,88.62,6,0
ETU1044,S1,79.32,10,3
ETU1044,S2,61.98,19,1
ETU1045,S1,85.23,7,1
ETU1045,S2,79.92,10,3
ETU1046,S1,96.93,2,3
ETU1046,S2,96.86,2,6
ETU1047,S1,65.9,17,3
ETU1047,S2,73.63,13,1
ETU1048,S1,94.7,3,0
ETU1048,S2,75.76,12,2
ETU1049,S1,74.67,13,3
ETU1049,S2,92.5,4,2
ETU1050,S1,79.48,10,0
ETU1050,S2,79.35,10,5
ETU1051,S1,74.26,13,0
ETU1051,S2,74.31,13,3
ETU1052,S1,78.65,11,2
ETU1052,S2,100.0,0,5
ETU1053,S1,62.6,19,2
ETU1053,S2,84.11,8,4
ETU1054,S1,80.06,10,3
ETU1054,S2,83.85,8,1
ETU1055,S1,78.56,11,3
ETU1055,S2,77.21,11,2
ETU1056,S1,81.35,9,0
ETU1056,S2,89.98,5,2
ETU1057,S1,91.85,4,1
ETU1057,S2,81.33,9,1
ETU1058,S1,63.14,18,6
ETU1058,S2,73.03,13,2
ETU1059,S1,61.92,19,2
ETU1059,S2,81.62,9,4
ETU1060,S1,77.06,11,1
ETU1060,S2,75.13,12,1
ETU1061,S1,83.47,8,4
ETU1061,S2,79.18,10,0
ETU1062,S1,79.12,10,3
ETU1062,S2,81.4,9,1
ETU1063,S1,100.0,0,1
ETU1063,S2,68.08,16,3
ETU1064,S1,51.34,24,2
ETU1064,S2,67.65,16,1
ETU1065,S1,89.09,5,4
ETU1065,S2,97.0,2,4
ETU1066,S1,90.58,5,2
ETU1066,S2,82.54,9,1
ETU1067,S1,69.03,15,3
ETU1067,S2,93.09,3,3
ETU1068,S1,72.43,14,2
ETU1068,S2,75.06,12,5
ETU1069,S1,76.65,12,2
ETU1069,S2,79.67,10,3
ETU1070,S1,89.8,5,3
ETU1070,S2,68.59,16,1
ETU1071,S1,85.31,7,3
ETU1071,S2,91.11,4,4
ETU1072,S1,74.47,13,0
ETU1072,S2,100.0,0,3
ETU1073,S1,74.26,13,3
ETU1073,S2,74.07,13,4
ETU1074,S1,85.23,7,7
ETU1074,S2,73.45,13,3
ETU1075,S1,,4,3
ETU1075,S2,100.0,0,3
ETU1076,S1,78.12,11,2
ETU1076,S2,69.27,15,3
ETU1077,S1,80.72,10,3
ETU1077,S2,87.83,6,3
ETU1078,S1,86.5,7,3
ETU1078,S2,76.41,12,3
ETU1079,S1,70.83,15,4
ETU1079,S2,86.69,7,1
ETU1080,S1,80.33,10,1
ETU1080,S2,75.35,12,1
ETU1081,S1,89.0,5,3
ETU1081,S2,77.39,11,5
ETU1082,S1,76.83,12,5
ETU1082,S2,91.77,4,4
ETU1083,S1,100.0,0,1
ETU1083,S2,64.05,18,1
ETU1084,S1,60.64,20,1
ETU1084,S2,85.27,7,2
ETU1085,S1,82.21,9,1
ETU1085,S2,81.1,9,0
ETU1086,S1,78.05,11,3
ETU1086,S2,79.19,10,1
ETU1087,S1,89.33,5,7
ETU1087,S2,100.0,0,3
ETU1088,S1,65.03,17,3
ETU1088,S2,82.43,9,4
ETU1089,S1,63.74,18,2
ETU1089,S2,88.97,6,2
ETU1090,S1,73.52,13,3
ETU1090,S2,73.9,13,3
ETU1091,S1,90.16,5,2
ETU1091,S2,95.97,2,2
ETU1092,S1,74.31,13,2
ETU1092,S2,100.0,0,6
ETU1093,S1,72.97,14,4
ETU1093,S2,79.97,10,6
ETU1094,S1,80.26,10,4
ETU1094,S2,85.25,7,2
ETU1095,S1,98.21,1,0
ETU1095,S2,62.75,19,1
ETU1096,S1,60.17,20,1
ETU1096,S2,100.0,0,3
ETU1097,S1,75.22,12,2
ETU1097,S2,81.54,9,1
ETU1098,S1,92.33,4,3
ETU1098,S2,91.93,4,6
ETU1099,S1,81.05,9,3
ETU1099,S2,94.95,3,2
ETU1100,S1,100.0,0,3
ETU1100,S2,90.22,5,1
ETU1101,S1,85.68,7,2
ETU1101,S2,79.96,10,3
ETU1102,S1,90.54,5,4
ETU1102,S2,87.51,6,5
ETU1103,S1,89.13,5,2
ETU1103,S2,77.95,11,0
ETU1104,S1,91.56,4,3
ETU1104,S2,70.78,15,5
ETU1105,S1,65.5,17,1
ETU1105,S2,85.15,7,2
ETU1106,S1,93.5,3,4
ETU1106,S2,65.86,17,1
ETU1107,S1,100.0,0,1
ETU1107,S2,60.09,20,3
ETU1108,S1,90.94,5,1
ETU1108,S2,81.72,9,5
ETU1109,S1,87.03,6,3
ETU1109,S2,78.18,11,2
ETU1110,S1,93.19,3,2
ETU1110,S2,49.03,25,3
ETU1111,S1,60.95,20,2
ETU1111,S2,88.33,6,2
ETU1112,S1,69.35,15,4
ETU1112,S2,94.41,3,2
ETU1113,S1,81.55,9,2
ETU1113,S2,100.0,0,4
ETU1114,S1,70.88,15,3
ETU1114,S2,85.8,7,4
ETU1115,S1,89.2,5,2
ETU1115,S2,69.22,15,6
ETU1116,S1,100.0,0,1
ETU1116,S2,100.0,0,0
ETU1117,S1,76.25,12,2
ETU1117,S2,87.56,6,5
ETU1118,S1,67.14,16,2
ETU1118,S2,84.78,8,5
ETU1119,S1,73.44,13,1
ETU1119,S2,88.79,6,2
ETU1120,S1,100.0,0,3
ETU1120,S2,93.28,3,1
ETU1121,S1,81.91,9,3
ETU1121,S2,87.79,6,4
ETU1122,S1,75.78,12,6
ETU1122,S2,91.67,4,3
ETU1123,S1,91.39,4,3
ETU1123,S2,91.77,4,1
ETU1124,S1,79.66,10,2
ETU1124,S2,87.74,6,3
ETU1125,S1,75.73,12,2
ETU1125,S2,68.88,16,1
ETU1126,S1,79.27,10,1
ETU1126,S2,80.6,10,2
ETU1127,S1,77.54,11,2
ETU1127,S2,92.74,4,7
ETU1128,S1,60.04,20,1
ETU1128,S2,82.52,9,1
ETU1129,S1,89.74,5,2
ETU1129,S2,95.42,2,3
ETU1130,S1,89.79,5,3
ETU1130,S2,87.85,6,3
ETU1131,S1,100.0,0,4
ETU1131,S2,79.41,10,2
ETU1132,S1,93.91,3,4
ETU1132,S2,63.16,18,4
ETU1133,S1,95.52,2,1
ETU1133,S2,68.43,16,5
ETU1134,S1,68.06,16,3
ETU1134,S2,77.33,11,2
ETU1135,S1,84.42,8,3
ETU1135,S2,72.67,14,2
ETU1136,S1,69.29,15,1
ETU1136,S2,74.51,13,2
ETU1137,S1,74.91,13,2
ETU1137,S2,84.48,8,3
ETU1138,S1,85.12,7,0
ETU1138,S2,80.1,10,0
ETU1139,S1,76.13,12,3
ETU1139,S2,94.43,3,5
ETU1140,S1,93.82,3,2
ETU1140,S2,88.41,6,2
ETU1141,S1,55.63,22,2
ETU1141,S2,79.13,10,2
ETU1142,S1,73.96,13,1
ETU1142,S2,86.75,7,1
ETU1143,S1,73.96,13,3
ETU1143,S2,79.24,10,2
ETU1144,S1,65.4,17,1
ETU1144,S2,90.12,5,0
ETU1145,S1,81.13,9,1
ETU1145,S2,98.86,1,1
ETU1146,S1,84.3,8,3
ETU1146,S2,80.49,10,2
ETU1147,S1,96.98,2,0
ETU1147,S2,92.5,4,5
ETU1148,S1,69.46,15,2
ETU1148,S2,84.18,8,0
ETU1149,S1,98.75,1,2
ETU1149,S2,95.18,2,4
ETU1150,S1,93.42,3,5
ETU1150,S2,79.84,10,5
ETU1151,S1,69.06,15,1
ETU1151,S2,62.08,19,0
ETU1152,S1,94.27,3,4
ETU1152,S2,99.42,0,2
ETU1153,S1,73.58,13,4
ETU1153,S2,83.94,8,2
ETU1154,S1,81.58,9,2
ETU1154,S2,85.08,7,1
ETU1155,S1,98.38,1,7
ETU1155,S2,80.29,10,2
ETU1156,S1,60.72,20,4
ETU1156,S2,88.04,6,5
ETU1157,S1,90.82,5,0
ETU1157,S2,73.42,13,3
ETU1158,S1,86.6,7,4
ETU1158,S2,69.45,15,2
ETU1159,S1,88.66,6,5
ETU1159,S2,90.22,5,1
ETU1160,S1,89.35,5,4
ETU1160,S2,75.87,12,1
ETU1161,S1,64.04,18,2
ETU1161,S2,87.26,6,4
ETU1162,S1,72.81,14,0
ETU1162,S2,85.95,7,5
ETU1163,S1,100.0,0,0
ETU1163,S2,63.67,18,1
ETU1164,S1,84.05,8,1
ETU1164,S2,90.24,5,2
ETU1165,S1,74.61,13,5
ETU1165,S2,76.98,12,0
ETU1166,S1,69.86,15,1
ETU1166,S2,100.0,0,3
ETU1167,S1,77.24,11,0
ETU1167,S2,85.38,7,2
ETU1168,S1,87.3,6,1
ETU1168,S2,65.97,17,0
ETU1169,S1,86.44,7,2
ETU1169,S2,99.92,0,3
ETU1170,S1,72.38,14,3
ETU1170,S2,86.28,7,2
ETU1171,S1,80.71,10,2
ETU1171,S2,80.07,10,2
ETU1172,S1,83.64,8,0
ETU1172,S2,72.59,14,1
ETU1173,S1,91.03,4,1
ETU1173,S2,93.4,3,5
ETU1174,S1,83.37,8,1
ETU1174,S2,73.78,13,2
ETU1175,S1,74.04,13,2
ETU1175,S2,61.24,19,8
ETU1176,S1,85.06,7,0
ETU1176,S2,100.0,0,7
ETU1177,S1,89.82,5,1
ETU1177,S2,94.52,3,2
ETU1178,S1,65.54,17,0
ETU1178,S2,95.54,2,5
ETU1179,S1,82.14,9,0
ETU1179,S2,86.1,7,2
ETU1180,S1,69.66,15,2
ETU1180,S2,100.0,0,2
ETU1181,S1,87.27,6,1
ETU1181,S2,75.37,12,2
ETU1182,S1,85.25,7,5
ETU1182,S2,100.0,0,4
ETU1183,S1,80.78,10,0
ETU1183,S2,52.05,24,4
ETU1184,S1,70.8,15,3
ETU1184,S2,66.66,17,2
ETU1185,S1,86.04,7,0
ETU1185,S2,65.08,17,6
ETU1186,S1,87.96,6,4
ETU1186,S2,100.0,0,4
ETU1187,S1,71.97,14,2
ETU1187,S2,90.84,5,2
ETU1188,S1,81.4,9,2
ETU1188,S2,80.82,10,4
ETU1189,S1,80.91,10,3
ETU1189,S2,77.31,11,1
ETU1190,S1,92.95,4,3
ETU1190,S2,67.96,16,3
ETU1191,S1,80.12,10,4
ETU1191,S2,82.79,9,3
ETU1192,S1,88.91,6,6
ETU1192,S2,89.42,5,1
ETU1193,S1,72.44,14,2
ETU1193,S2,58.79,21,7
ETU1194,S1,87.44,6,2
ETU1194,S2,69.86,15,1
ETU1195,S1,80.68,10,3
ETU1195,S2,75.42,12,2
ETU1196,S1,100.0,0,1
ETU1196,S2,100.0,0,2
ETU1197,S1,81.91,9,0
ETU1197,S2,56.57,22,4
ETU1198,S1,89.56,5,1
ETU1198,S2,80.97,10,1
ETU1199,S1,77.79,11,1
ETU1199,S2,89.5,5,3
ETU1200,S1,100.0,0,5
ETU1200,S2,100.0,0,4
ETU1201,S1,85.21,7,5
ETU1201,S2,64.27,18,2
ETU1202,S1,62.44,19,5
ETU1202,S2,88.32,6,4
ETU1203,S1,81.34,9,2
ETU1203,S2,88.22,6,4
ETU1204,S1,100.0,0,1
ETU1204,S2,94.25,3,3
ETU1205,S1,74.87,13,3
ETU1205,S2,55.11,22,3
ETU1206,S1,77.43,11,2
ETU1206,S2,98.59,1,5
ETU1207,S1,90.24,5,6
ETU1207,S2,82.54,9,1
ETU1208,S1,89.45,5,3
ETU1208,S2,81.88,9,1
ETU1209,S1,84.58,8,3
ETU1209,S2,69.69,15,0
ETU1210,S1,68.59,16,2
ETU1210,S2,78.31,11,3
ETU1211,S1,92.8,4,1
ETU1211,S2,78.43,11,1
ETU1212,S1,83.99,8,5
ETU1212,S2,82.56,9,2
ETU1213,S1,76.21,12,2
ETU1213,S2,68.8,16,5
ETU1214,S1,79.61,10,2
ETU1214,S2,85.16,7,0
ETU1215,S1,82.63,9,0
ETU1215,S2,86.58,7,2
ETU1216,S1,77.58,11,2
ETU1216,S2,80.09,10,1
ETU1217,S1,70.69,15,4
ETU1217,S2,67.97,16,4
ETU1218,S1,75.72,12,4
ETU1218,S2,81.85,9,0
ETU1219,S1,71.48,14,5
ETU1219,S2,87.36,6,5
ETU1220,S1,89.54,5,2
ETU1220,S2,76.63,12,3
ETU1221,S1,94.6,3,2
ETU1221,S2,84.89,8,3
ETU1222,S1,93.04,3,3
ETU1222,S2,49.88,25,2
ETU1223,S1,91.63,4,3
ETU1223,S2,81.35,9,4
ETU1224,S1,84.16,8,2
ETU1224,S2,83.42,8,4
ETU1225,S1,63.78,18,2
ETU1225,S2,67.19,16,4
ETU1226,S1,,9,2
ETU1226,S2,,8,3
ETU1227,S1,80.28,10,2
ETU1227,S2,75.45,12,5
ETU1228,S1,94.2,3,4
ETU1228,S2,75.17,12,3
ETU1229,S1,92.83,4,5
ETU1229,S2,71.79,14,1
ETU1230,S1,82.44,9,0
ETU1230,S2,80.73,10,3
ETU1231,S1,74.15,13,1
ETU1231,S2,57.5,21,0
ETU1232,S1,76.57,12,3
ETU1232,S2,71.03,14,2
ETU1233,S1,93.52,3,1
ETU1233,S2,95.19,2,2
ETU1234,S1,64.62,18,3
ETU1234,S2,62.13,19,5
ETU1235,S1,77.69,11,3
ETU1235,S2,67.53,16,3
ETU1236,S1,74.3,13,4
ETU1236,S2,68.34,16,0
ETU1237,S1,86.52,7,1
ETU1237,S2,86.99,7,2
ETU1238,S1,85.47,7,4
ETU1238,S2,90.16,5,4
ETU1239,S1,63.72,18,2
ETU1239,S2,80.78,10,2
ETU1240,S1,72.42,14,3
ETU1240,S2,73.42,13,6
ETU1241,S1,75.63,12,3
ETU1241,S2,79.05,10,4
ETU1242,S1,64.61,18,0
ETU1242,S2,86.08,7,1
ETU1243,S1,75.05,12,2
ETU1243,S2,82.38,9,3
ETU1244,S1,66.66,17,1
ETU1244,S2,80.75,10,1
ETU1245,S1,87.05,6,3
ETU1245,S2,92.68,4,2
ETU1246,S1,85.11,7,2
ETU1246,S2,87.28,6,1
ETU1247,S1,84.93,8,4
ETU1247,S2,100.0,0,1
ETU1248,S1,80.99,10,1
ETU1248,S2,78.26,11,3
ETU1249,S1,90.53,5,0
ETU1249,S2,95.24,2,0
ETU1250,S1,81.65,9,0
ETU1250,S2,91.02,4,3
ETU1251,S1,100.0,0,8
ETU1251,S2,86.59,7,3
ETU1252,S1,88.11,6,1
ETU1252,S2,74.39,13,2
ETU1253,S1,72.66,14,0
ETU1253,S2,76.97,12,1
ETU1254,S1,,6,2
ETU1254,S2,70.99,15,0
ETU1255,S1,78.57,11,5
ETU1255,S2,91.63,4,2
ETU1256,S1,84.3,8,1
ETU1256,S2,81.14,9,0
ETU1257,S1,96.82,2,3
ETU1257,S2,83.53,8,1
ETU1258,S1,75.71,12,4
ETU1258,S2,87.31,6,3
ETU1259,S1,77.86,11,4
ETU1259,S2,93.1,3,3
ETU1260,S1,,13,4
ETU1260,S2,86.29,7,1
ETU1261,S1,97.11,1,1
ETU1261,S2,71.27,14,2
ETU1262,S1,70.58,15,3
ETU1262,S2,68.91,16,5
ETU1263,S1,90.28,5,2
ETU1263,S2,96.43,2,4
ETU1264,S1,79.28,10,0
ETU1264,S2,82.72,9,4
ETU1265,S1,100.0,0,4
ETU1265,S2,95.62,2,1
ETU1266,S1,78.74,11,4
ETU1266,S2,76.64,12,1
ETU1267,S1,76.33,12,3
ETU1267,S2,76.31,12,1
ETU1268,S1,80.59,10,3
ETU1268,S2,79.95,10,1
ETU1269,S1,92.18,4,3
ETU1269,S2,82.42,9,3
ETU1270,S1,86.69,7,2
ETU1270,S2,100.0,0,2
ETU1271,S1,87.43,6,1
ETU1271,S2,97.97,1,4
ETU1272,S1,88.87,6,1
ETU1272,S2,82.19,9,4
ETU1273,S1,46.63,27,4
ETU1273,S2,75.95,12,4
ETU1274,S1,92.1,4,1
ETU1274,S2,80.3,10,3
ETU1275,S1,79.34,10,2
ETU1275,S2,100.0,0,3
ETU1276,S1,79.23,10,1
ETU1276,S2,100.0,0,4
ETU1277,S1,69.38,15,2
ETU1277,S2,87.6,6,3
ETU1278,S1,73.96,13,2
ETU1278,S2,69.51,15,2
ETU1279,S1,65.14,17,2
ETU1279,S2,94.95,3,5
ETU1280,S1,61.33,19,2
ETU1280,S2,73.27,13,3
ETU1281,S1,46.32,27,3
