id_client,nom,age,type_contrat,date_contrat,region,prime,nb_sinistres,montant_sinistres
100,Client_100,35.0,auto,2022-04-23,Savanes,324.63,3,810.05
298,Client_298,57.0,MOTO,2020-04-05,Plateaux,172.37,0,0.0
90,Client_90,65.0,habitation,2020-08-03,Plateaux,179.38,1,612.0
31,Client_31,,auto,2021-02-05,Savanes,245.67,0,0.0
236,Client_236,69.0,habitation,2021-12-23,Maritime,130.21,1,567.57
294,Client_294,24.0,habitation,2024-06-15,Centrale,355.33,0,0.0
36,Client_36,45.0,auto,2022-03-10,Savanes,346.06,0,0.0
8,Client_8,56.0,auto,2023-09-05,Maritime,330.8,0,0.0
179,Client_179,62.0,sante,2020-04-26,Maritime,151.82,0,0.0
14,Client_14,70.0,habitation,2023-06-06,Savanes,195.57,0,0.0
242,Client_242,54.0,moto,2021-03-04,Maritime,211.97,0,0.0
66,Client_66,25.0,habitation,2023-06-08,Savanes,145.04,0,0.0
180,Client_180,32.0,habitation,2024-08-16,Kara,124.76,1,1169.7
193,Client_193,74.0,auto,2021-10-01,Centrale,,0,0.0
148,Client_148,52.0,habitation,2022-10-10,Centrale,88.7,0,0.0
135,Client_135,29.0,auto,2024-01-23,Savanes,369.51,1,999.47
266,Client_266,72.0,sante,2020-02-24,Maritime,196.18,0,0.0
158,Client_158,72.0,AUTO,2022-03-24,Kara,320.33,0,0.0
233,Client_233,69.0,moto,2020-08-02,Centrale,201.95,0,0.0
237,Client_237,29.0,auto,2023-09-03,Maritime,271.06,1,257.97
113,Client_113,24.0,auto,2023-07-01,Kara,453.19,2,1474.88
160,Client_160,56.0,auto,2023-11-29,Kara,322.86,0,0.0
241,Client_241,66.0,auto,2023-08-21,Centrale,286.25,0,0.0
198,Client_198,61.0,AUTO,2023-04-17,Kara,296.21,0,0.0
255,Client_255,18.0,sante,2021-05-16,Kara,365.06,1,312.35
30,Client_30,39.0,moto,2020-03-29,Maritime,192.28,0,0.0
143,Client_143,52.0,auto,2023-02-03,Centrale,318.4,0,0.0
170,Client_170,56.0,auto,2022-07-24,Kara,264.87,0,0.0
222,Client_222,50.0,auto,2020-12-07,Kara,376.43,1,1117.82
4,Client_4,32.0,auto,2021-08-10,Maritime,257.7,0,0.0
161,Client_161,44.0,auto,2023-10-01,Savanes,400.07,1,416.95
141,Client_141,41.0,auto,2022-06-06,Centrale,326.69,0,0.0
254,Client_254,50.0,sante,2020-07-12,Maritime,130.73,0,0.0
259,Client_259,61.0,auto,2023-05-30,Savanes,365.52,0,0.0
