identifiant,remboursement,taux_endete,cout_total,benefices
0,1130.05,30.8,271212.0,131.99
1,1487.85,28.02,389715.0,206.66
2,552.54,29.5,132609.59999999998,53.71
3,586.03,34.8,105485.4,44.57
4,423.61,28.7,101666.4,51.21
5,836.89,33.8,200853.6,93.4
6,711.33,38.1,170719.2,85.08
7,2956.95,53.9,887085.0,437.63
8,751.38,21.0,135248.4,74.16
9,612.61,44.2,110269.8,58.99
10,378.34,16.5,90801.6,45.93
11,1013.84,30.3,243321.6,121.56
12,428.0,26.8,51360.0,23.22
13,393.62,15.4,118086.0,60.03
14,1334.39,55.3,400317.00000000006,192.49
15,1220.37,29.7,292888.8,155.23
16,1505.03,24.6,361207.2,182.26
17,1507.36,30.6,361766.4,188.27
18,1726.53,30.2,517959.0,238.48
19,346.5,22.0,83160.0,41.58
20,1237.61,37.3,297026.4,142.08
21,407.15,25.9,122145.0,57.1
22,3018.25,51.7,724380.0,370.94
23,1018.93,22.8,244543.2,125.23
24,602.77,37.3,144664.8,73.54
25,1394.32,25.2,418296.0,203.05
26,1100.37,25.8,264088.8,131.82
27,509.21,27.1,91657.8,40.63
28,535.3,38.4,160590.0,80.7
29,579.35,24.2,139044.0,59.04
30,514.08,28.8,123379.2,53.52
31,550.48,16.2,165144.0,75.21
32,1196.65,35.0,215397.00000000003,109.67
33,1032.7,25.2,185886.0,92.87
34,768.77,28.6,184504.8,84.18
35,436.57,20.1,130971.0,54.79
36,1922.7,34.8,461448.0,242.26
37,455.4,16.5,136620.0,70.42
38,1098.66,27.8,329598.0,159.31
39,425.8,26.3,102192.0,45.86
40,621.59,16.2,149181.6,74.9
41,453.11,27.1,108746.4,57.32
42,1393.24,50.7,250783.2,126.33
43,336.75,25.0,60615.0,30.03
44,364.46,27.8,43735.2,20.59
45,865.54,38.4,207729.6,100.32
46,243.38,16.4,73014.0,34.29
47,432.01,26.7,103682.4,55.99
48,1036.88,52.0,248851.2,112.81
49,1442.05,49.2,346092.0,173.05
50,1876.2,31.8,225144.0,96.25
51,589.45,42.9,70734.0,34.78
52,973.56,36.6,292068.0,136.18
53,1408.28,38.0,337987.2,163.5
54,749.21,21.4,134857.80000000002,62.2
55,881.67,22.7,158700.6,73.0
56,642.39,29.4,154173.6,82.48
57,948.5,25.0,227640.0,106.9
58,664.12,27.5,79694.4,39.12
59,696.58,19.6,125384.4,56.11
60,688.17,57.3,165160.8,76.59
61,1140.27,23.9,342081.0,172.75
62,556.54,17.3,100177.2,48.67
63,1586.4699999999998,38.56,392340.6,185.70000000000002
64,1594.4599999999998,36.86,336867.0,173.33999999999997
65,1091.34,28.2,196441.2,97.73
66,665.45,47.6,199635.0,101.07
67,2395.94,42.8,575025.6,272.18
68,518.58,26.8,62229.600000000006,32.36
69,872.47,38.3,209392.8,109.93
70,508.51,18.2,91531.8,43.17
71,687.46,37.0,164990.40000000002,71.29
72,2230.91,37.3,535418.3999999999,256.55
73,457.07,16.4,109696.8,53.52
74,646.04,22.7,193812.0,93.11
75,629.73,20.1,151135.2,75.69
76,876.97,25.9,105236.4,44.86
77,1146.21,26.9,275090.4,136.06
78,1048.3,37.2,251592.0,116.36
79,448.92,17.8,107740.8,57.06
80,2197.69,32.4,395584.2,200.26
81,961.04,32.8,230649.6,112.06
82,1131.37,36.1,271528.8,139.95
83,666.01,30.18,89485.8,56.510000000000005
84,531.83,30.6,127639.2,62.22
85,2980.27,47.0,715264.8,320.08
86,234.96,17.8,42292.8,20.39
87,658.9,22.0,197670.0,103.53
88,772.69,26.3,185445.6,87.39
89,1484.38,35.2,356251.2,172.48
90,434.7,16.1,104328.0,51.03
91,1321.39,32.3,237850.2,102.97
92,271.87,17.7,65248.8,30.48
93,566.59,31.6,169977.0,85.77
94,1216.64,32.0,218995.2,102.75
95,1318.51,21.73,242700.0,127.14999999999999
96,547.17,18.3,164151.0,76.67
97,240.24,15.4,72072.0,35.59
98,650.76,32.2,156182.4,88.96
99,662.32,27.2,79478.40000000001,36.39
100,1148.98,31.6,275755.2,136.38
101,1024.83,21.630000000000003,253104.6,125.95
102,951.44,49.4,228345.6,118.45
103,346.62,17.1,83188.8,36.01
104,916.01,15.3,219842.4,109.01
105,353.04,15.1,105912.0,55.52
106,746.29,41.3,89554.79999999999,44.52
107,384.66,18.7,92318.4,45.66
108,919.98,34.2,220795.2,105.52
109,446.21,33.6,107090.4,50.15
110,550.26,28.9,132062.4,60.42
111,555.13,16.1,99923.4,52.13
112,1730.91,29.9,207709.2,97.28
113,662.78,28.64,110706.0,61.879999999999995
114,442.66,20.9,132798.0,68.28
115,1100.62,26.4,264148.8,134.39
116,403.85,28.4,72693.0,30.26
117,800.46,32.9,192110.4,95.82
118,642.43,23.9,192729.0,96.12
119,1631.24,26.0,293623.2,141.8
120,842.02,18.6,202084.8,111.06
121,476.88,16.1,143064.0,63.43
122,2457.54,37.6,294904.8,127.55
123,224.63,17.4,40433.4,18.53
124,854.81,24.47,148132.8,80.9
125,2043.46,34.8,490430.4,229.28
126,1016.51,38.1,121981.2,56.67
127,1353.78,42.2,406134.0,191.9
128,840.38,23.8,201691.2,103.45
129,1899.15,27.9,341847.0,181.04
130,1473.36,56.0,353606.4,160.01
131,882.57,24.2,264771.0,127.2
132,463.98,27.9,83516.40000000001,40.75
133,1254.99,40.5,196195.8,111.27
134,1021.72,35.6,183909.6,84.6
135,318.0,26.5,57240.0,31.34
136,706.65,32.7,211995.0,104.23
137,1374.6,23.2,329904.0,134.02
138,1138.27,21.3,273184.8,149.68
139,841.86,37.6,151534.8,78.8
140,422.1,30.0,75978.0,37.48
141,1892.86,35.5,454286.4,212.19
142,682.18,31.7,122792.4,61.4
143,965.49,27.8,231717.6,106.88
144,771.32,34.43,80211.0,60.14999999999999
145,2193.93,36.7,658179.0,296.45
146,459.58,15.6,137874.0,69.8
147,469.44,36.45,56007.6,33.6
148,551.89,29.480000000000004,74290.2,51.099999999999994
149,805.49,31.1,144988.2,71.65
150,706.2,26.4,127116.0,68.32
151,790.99,21.6,189837.6,88.67
152,397.63,16.7,95431.2,48.59
153,554.78,24.1,133147.19999999998,66.3
154,1407.32,23.3,337756.8,171.55
155,1344.68,35.1,242042.4,110.63
156,1151.24,44.9,276297.6,137.11
157,1225.78,23.6,294187.2,149.55
158,887.54,25.1,213009.6,98.96
159,934.26,28.85,165799.40000000002,85.94
160,401.34,22.7,120402.0,58.39
161,1130.52,19.9,203493.6,83.6
162,497.46,36.1,119390.4,54.22
163,997.26,17.2,179506.8,83.02
164,781.52,25.3,187564.8,88.55
165,811.07,30.4,194656.8,85.57
166,913.36,23.3,219206.4,102.2
167,1011.02,35.4,242644.8,116.57
168,2807.41,44.1,673778.3999999999,330.15
169,663.0,30.0,159120.0,77.77
170,1311.2,55.0,314688.0,137.81
171,853.53,23.2,153635.4,75.54
172,1072.02,38.3,257284.8,125.53
173,3744.77,55.2,674058.6,350.51
174,850.82,55.5,153147.6,66.87
175,693.4,15.3,166416.0,81.96
176,1132.83,24.6,271879.19999999995,142.28
