identifiant,ville,CP,revenu,remboursement,duree,type,taux_interet,taux_endete,cout_total,benefices,risque
6,LYON,69008,1867.0,711.33,240,immobilier,1.196,38.1,170719.2,85.08,OUI
7,NICE,6000,5486.0,2956.95,300,immobilier,1.184,53.9,887085.0,437.63,OUI
9,MARSEILLE,13012,1386.0,612.61,180,immobilier,1.284,44.2,110269.8,58.99,OUI
14,TOULOUSE,31400,2413.0,1334.39,300,immobilier,1.154,55.3,400317.00000000006,192.49,OUI
20,LYON,69001,3318.0,1237.61,240,immobilier,1.148,37.3,297026.4,142.08,OUI
22,NICE,6300,5838.0,3018.25,240,immobilier,1.229,51.7,724380.0,370.94,OUI
24,MARSEILLE,13016,1616.0,602.77,240,immobilier,1.22,37.3,144664.8,73.54,OUI
28,MARSEILLE,13013,1394.0,535.3,300,immobilier,1.206,38.4,160590.0,80.7,OUI
42,LYON,69002,2748.0,1393.24,180,immobilier,1.209,50.7,250783.2,126.33,OUI
45,MARSEILLE,13016,2254.0,865.54,240,immobilier,1.159,38.4,207729.6,100.32,OUI
48,MARSEILLE,13011,1994.0,1036.88,240,immobilier,1.088,52.0,248851.2,112.81,OUI
49,TOULOUSE,31100,2931.0,1442.05,240,immobilier,1.2,49.2,346092.0,173.05,OUI
51,MARSEILLE,13016,1374.0,589.45,120,immobilier,1.18,42.9,70734.0,34.78,OUI
52,MARSEILLE,13011,2660.0,973.56,300,immobilier,1.119,36.6,292068.0,136.18,OUI
53,LYON,69006,3706.0,1408.28,240,immobilier,1.161,38.0,337987.2,163.5,OUI
60,MARSEILLE,13012,1201.0,688.17,240,immobilier,1.113,57.3,165160.8,76.59,OUI
66,MARSEILLE,13011,1398.0,665.45,300,immobilier,1.215,47.6,199635.0,101.07,OUI
67,PARIS,75014,5598.0,2395.94,240,immobilier,1.136,42.8,575025.6,272.18,OUI
69,TOULOUSE,31000,2278.0,872.47,240,immobilier,1.26,38.3,209392.8,109.93,OUI
71,MARSEILLE,13013,1858.0,687.46,240,immobilier,1.037,37.0,164990.40000000002,71.29,OUI
72,PARIS,75012,5981.0,2230.91,240,immobilier,1.15,37.3,535418.3999999999,256.55,OUI
78,MARSEILLE,13011,2818.0,1048.3,240,immobilier,1.11,37.2,251592.0,116.36,OUI
82,BORDEAUX,33000,3134.0,1131.37,240,immobilier,1.237,36.1,271528.8,139.95,OUI
85,PARIS,75005,6341.0,2980.27,240,immobilier,1.074,47.0,715264.8,320.08,OUI
89,LYON,69007,4217.0,1484.38,240,immobilier,1.162,35.2,356251.2,172.48,OUI
102,LYON,69002,1926.0,951.44,240,immobilier,1.245,49.4,228345.6,118.45,OUI
106,MARSEILLE,13012,1807.0,746.29,120,immobilier,1.193,41.3,89554.79999999999,44.52,OUI
122,PARIS,75001,6536.0,2457.54,120,immobilier,1.038,37.6,294904.8,127.55,OUI
126,MARSEILLE,13003,2668.0,1016.51,120,immobilier,1.115,38.1,121981.2,56.67,OUI
127,LYON,69008,3208.0,1353.78,300,immobilier,1.134,42.2,406134.0,191.9,OUI
130,MARSEILLE,13007,2631.0,1473.36,240,immobilier,1.086,56.0,353606.4,160.01,OUI
134,PARIS,75003,2870.0,1021.72,180,immobilier,1.104,35.6,183909.6,84.6,OUI
139,BORDEAUX,33300,2239.0,841.86,180,immobilier,1.248,37.6,151534.8,78.8,OUI
141,NICE,6000,5332.0,1892.86,240,immobilier,1.121,35.5,454286.4,212.19,OUI
145,PARIS,75017,5978.0,2193.93,300,immobilier,1.081,36.7,658179.0,296.45,OUI
155,LYON,69001,3831.0,1344.68,180,immobilier,1.097,35.1,242042.4,110.63,OUI
