review_id,order_id,rating,comment_length
1,813,5.0,16
2,56,4.0,128
3,1145,3.0,93
4,683,4.0,77
5,312,4.0,61
6,1095,4.0,114
7,342,5.0,72
8,507,4.0,144
9,1156,4.0,58
10,111,4.0,78
11,1229,5.0,38
12,633,4.0,131
13,132,4.0,77
14,47,5.0,51
15,748,4.0,40
16,604,4.0,43
17,83,3.0,62
18,1214,3.0,38
19,259,4.0,63
20,1185,,35
21,668,4.0,87
22,768,5.0,67
23,361,4.0,59
24,495,5.0,95
25,930,4.0,58
26,1014,3.0,46
27,283,2.0,61
28,375,3.0,38
29,966,5.0,98
30,207,4.0,21
31,1164,4.0,0
32,242,4.0,50
33,751,3.0,89
34,420,4.0,40
35,760,5.0,87
36,455,4.0,131
37,1163,,33
38,554,4.0,44
39,576,4.0,133
40,1054,5.0,12
41,1212,4.0,0
42,709,5.0,58
43,550,4.0,108
44,1232,4.0,50
45,924,4.0,49
46,355,4.0,60
47,353,4.0,84
48,611,4.0,22
49,100,5.0,54
50,601,4.0,37
51,687,3.0,50
52,1047,4.0,44
53,965,4.0,0
54,1231,4.0,69
55,152,4.0,0
56,488,5.0,23
57,547,5.0,53
58,491,5.0,86
59,1181,4.0,42
60,320,4.0,78
61,992,3.0,99
62,27,3.0,50
63,307,,78
64,1071,4.0,71
65,190,4.0,46
66,744,4.0,107
67,96,3.0,80
68,1043,4.0,51
69,871,4.0,69
70,324,4.0,154
71,174,4.0,126
72,246,5.0,0
73,1184,4.0,100
74,1176,5.0,25
75,653,4.0,14
76,944,3.0,51
77,907,4.0,122
78,894,,101
79,829,3.0,15
80,213,4.0,128
81,142,3.0,0
82,946,4.0,106
83,1179,3.0,50
84,632,3.0,116
85,937,4.0,71
86,528,4.0,51
87,1210,4.0,35
88,895,4.0,17
89,289,4.0,29
90,679,4.0,0
91,658,4.0,81
92,348,5.0,50
93,806,3.0,24
94,135,4.0,48
95,154,4.0,37
96,646,4.0,51
97,856,3.0,37
98,1141,4.0,116
99,364,4.0,40
100,212,5.0,53
101,428,3.0,55
102,508,4.0,121
