order_id,date,client_id,product_id,quantity,discount_pct,payment_method,region,delivery_time_days,status
1,02/01/2025,70,31,2,0,Paiement à la livraison,Kpalimé,3.2,Livrée
2,2025-01-02,218,85,1,15,carte,Kara,4.3,Livrée
3,2025-01-02,158,62,1,0,Mobile Money,Lomé,2.2,Livrée
4,2025-01-03,205,76,1,0,Mobile_Money,Kara,6.1,Livrée
5,2025-01-03,250,47,2,15,Mobile Money,Sokodé,3.8,Livrée
6,2025-01-03,25,24,2,10,MOMO,Kara,3.9,Livrée
7,03/01/2025,258,5,1,5,Paiement à la livraison,Kpalimé,2.4,Livrée
8,2025-01-03,103,79,1,0,carte,Atakpamé,4.0,Livrée
9,2025-01-04,64,16,1,10,Mobile_Money,Lomé,3.0,Livrée
10,2025-01-05,16,87,2,5,Mobile Money,Lomé,2.6,Livrée
11,2025-01-05,213,19,3,5,Carte bancaire,Kara,,En cours
12,2025-01-05,200,67,2,0,Mobile_Money,Sokodé,5.0,Livrée
13,2025-01-05,159,74,2,15,cash,Sokodé,,En cours
14,2025-01-05,255,50,2,0,Mobile_Money,Lomé,1.4,Livrée
15,2025-01-06,71,62,1,5,mobile money,Sokodé,5.0,Livrée
16,2025-01-06,223,69,2,0,Mobile_Money,Lomé,3.0,Annulée
17,2025-01-07,247,87,2,15,MOMO,Dapaong,5.2,Livrée
18,2025-01-07,210,47,2,15,mobile money,Atakpamé,3.8,Livrée
19,2025-01-08,12,19,1,20,Mobile_Money,Dapaong,6.6,Livrée
20,2025-01-08,188,20,2,0,mobile money,Atakpamé,2.0,Livrée
21,2025-01-08,143,52,3,0,CB,Sokodé,3.3,Livrée
22,2025-01-09,209,4,1,0,Mobile_Money,Atakpamé,4.6,Livrée
23,09/01/2025,156,56,1,0,MOMO,Dapaong,4.1,Livrée
24,09/01/2025,229,89,1,0,Mobile_Money,Sokodé,,En cours
25,2025-01-10,137,54,2,0,Mobile_Money,Lomé,1.0,Livrée
26,2025-01-10,96,7,1,5,Carte bancaire,Atakpamé,5.5,Livrée
27,2025-01-10,185,13,2,0,Mobile_Money,Atakpamé,4.1,Livrée
28,11/01/2025,21,73,1,0,cash,Sokodé,6.9,Livrée
29,2025-01-11,181,3,2,5,Cash a la livraison,Lomé,2.6,Livrée
30,2025-01-11,158,72,1,15,MOMO,Dapaong,6.4,Livrée
31,2025-01-11,122,20,1,0,Mobile Money,Kara,3.3,Livrée
32,2025-01-12,48,1,1,0,CB,Atakpamé,1.9,Livrée
33,2025-01-12,79,14,1,10,Mobile Money,Kara,3.1,Livrée
34,2025-01-13,219,82,1,10,carte,Dapaong,7.6,Livrée
35,13/01/2025,147,88,2,0,Mobile Money,Dapaong,,En cours
36,2025-01-14,159,60,2,10,mobile money,Dapaong,5.0,Livrée
37,2025-01-14,15,33,2,0,mobile money,Kpalimé,2.4,Livrée
38,2025-01-15,10,14,2,15,MOMO,Kpalimé,3.4,Livrée
39,2025-01-15,134,36,1,0,mobile money,Kpalimé,2.0,Livrée
40,2025-01-15,146,86,3,15,mobile money,Kara,4.5,Livrée
41,2025-01-16,172,22,1,0,Carte bancaire,Dapaong,7.7,Livrée
42,2025-01-16,163,47,2,0,carte,Lomé,1.2,Livrée
43,2025-01-17,185,3,2,0,CB,Lomé,3.2,Livrée
44,2025-01-17,233,39,-1,10,Mobile Money,Atakpamé,4.6,Livrée
45,2025-01-17,99,19,1,5,MOMO,Kara,2.4,Livrée
46,2025-01-17,86,51,1,0,MOMO,Lomé,1.9,Livrée
47,2025-01-17,81,1,1,5,Paiement à la livraison,Lomé,1.0,Livrée
48,2025-01-17,193,83,3,10,mobile money,Kpalimé,,En cours
49,2025-01-18,119,6,1,0,Paiement à la livraison,Atakpamé,4.3,Livrée
50,2025-01-19,10,64,2,0,mobile money,Sokodé,4.9,Livrée
51,2025-01-19,14,9,1,0,Paiement à la livraison,Atakpamé,3.4,Livrée
52,2025-01-19,48,53,1,0,MOMO,Kpalimé,2.1,Livrée
53,2025-01-20,63,49,3,5,mobile money,Sokodé,4.0,Livrée
54,2025-01-20,137,47,2,0,mobile money,Sokodé,2.6,Livrée
55,20/01/2025,12,33,2,0,carte,Atakpamé,6.4,Livrée
56,2025-01-21,155,33,1,0,Mobile_Money,Sokodé,3.3,Livrée
57,2025-01-21,186,16,3,15,Mobile_Money,Sokodé,5.8,Livrée
58,2025-01-22,241,20,-1,0,Mobile_Money,Dapaong,4.9,Livrée
59,2025-01-22,85,8888,2,5,carte,Sokodé,4.8,Livrée
60,22/01/2025,31,57,1,15,mobile money,Kara,,En cours
61,2025-01-22,212,15,1,15,Mobile_Money,Atakpamé,1.3,Livrée
62,2025-01-23,198,22,1,0,cash,Sokodé,2.9,Livrée
63,2025-01-24,166,15,1,0,Mobile Money,Sokodé,3.1,Livrée
64,2025-01-24,125,15,3,0,mobile money,Dapaong,5.8,Livrée
65,2025-01-24,129,64,2,0,Paiement à la livraison,Atakpamé,3.8,Livrée
66,2025-01-25,90,1,1,0,Paiement à la livraison,Atakpamé,2.3,Retournée
67,25/01/2025,158,52,1,0,Mobile_Money,Lomé,1.1,Livrée
68,2025-01-25,239,13,2,10,Mobile_Money,Dapaong,5.6,Livrée
69,2025-01-25,125,55,3,0,Mobile Money,Sokodé,4.4,Livrée
70,2025-01-25,34,88,1,5,mobile money,Dapaong,,En cours
71,25/01/2025,197,65,1,5,Cash a la livraison,Kara,4.2,Livrée
72,2025-01-27,55,81,2,5,carte,Atakpamé,2.0,Livrée
73,2025-01-28,113,3,2,0,mobile money,Dapaong,7.7,Livrée
74,2025-01-29,126,32,1,0,cash,Dapaong,5.6,Annulée
75,2025-01-30,208,59,2,5,CB,Lomé,2.4,Livrée
76,2025-01-30,22,8,3,0,MOMO,Kara,,En cours
77,2025-01-30,228,64,2,0,Carte bancaire,Kara,,En cours
78,2025-01-31,227,82,1,0,Paiement à la livraison,Dapaong,,En cours
79,2025-01-31,72,5,3,10,cash,Kara,5.2,Livrée
80,2025-01-31,162,21,1,0,Mobile Money,Sokodé,4.5,Livrée
81,01/02/2025,110,88,1,0,cash,Sokodé,4.2,Livrée
82,2025-02-02,60,73,1,0,Cash a la livraison,Lomé,3.0,Livrée
83,2025-02-02,170,62,1,15,cash,Dapaong,6.6,Livrée
84,2025-02-02,80,69,1,5,Mobile Money,Sokodé,4.6,Livrée
85,2025-02-02,252,44,2,0,Mobile Money,Sokodé,,En cours
86,2025-02-03,228,12,2,0,mobile money,Kara,6.2,Livrée
87,2025-02-03,176,83,2,5,carte,Lomé,3.8,Livrée
88,2025-02-03,51,46,1,10,MOMO,Dapaong,,En cours
89,2025-02-04,246,87,2,0,Mobile_Money,Kara,4.5,Livrée
90,2025-02-05,149,53,1,10,cash,Atakpamé,3.9,Livrée
91,05/02/2025,53,8,1,0,Mobile Money,Sokodé,5.5,Annulée
92,2025-02-05,58,32,2,5,mobile money,Lomé,1.0,Livrée
93,2025-02-05,105,88,2,0,Mobile Money,Kpalimé,,En cours
94,2025-02-05,190,28,1,5,Mobile_Money,Kara,5.1,Annulée
95,2025-02-06,108,35,1,0,cash,Kpalimé,2.0,Livrée
96,2025-02-06,148,9,3,5,mobile money,Kara,5.7,Livrée
97,2025-02-06,44,51,1,5,Mobile_Money,Atakpamé,3.8,Livrée
98,2025-02-06,74,86,1,5,MOMO,Lomé,,En cours
99,2025-02-07,46,13,2,0,Paiement à la livraison,Atakpamé,2.8,Livrée
100,2025-02-08,145,52,3,10,Mobile Money,Kara,5.5,Livrée
101,2025-02-09,193,13,1,5,Cash a la livraison,Atakpamé,3.9,Livrée
102,2025-02-09,176,52,2,10,mobile money,Kpalimé,2.2,Livrée
103,2025-02-09,235,66,3,20,Mobile Money,Sokodé,4.4,Livrée
104,2025-02-09,38,42,2,15,Mobile_Money,Lomé,1.8,Livrée
105,10/02/2025,135,5,3,0,MOMO,Atakpamé,3.8,Annulée
106,2025-02-10,163,88,2,5,Carte bancaire,Atakpamé,2.8,Livrée
107,2025-02-10,229,23,1,0,Mobile Money,Kpalimé,3.4,Livrée
108,2025-02-12,259,44,3,5,CB,Sokodé,4.4,Livrée
109,12/02/2025,163,56,1,15,Paiement à la livraison,Atakpamé,3.1,Livrée
110,2025-02-12,196,85,2,5,mobile money,Sokodé,3.4,Livrée
111,2025-02-12,103,34,3,0,Carte bancaire,Sokodé,5.6,Livrée
112,2025-02-12,226,81,2,0,Mobile_Money,Lomé,2.4,Livrée
113,2025-02-12,259,4,2,0,Mobile Money,Kara,4.2,Livrée
114,2025-02-12,113,54,1,0,Mobile_Money,Atakpamé,4.5,Livrée
115,2025-02-13,39,31,2,0,Mobile_Money,Dapaong,7.1,Livrée
116,13/02/2025,155,37,2,10,Mobile Money,Lomé,2.8,Retournée
117,2025-02-14,108,64,1,5,mobile money,Kara,3.8,Annulée
118,2025-02-14,82,83,3,0,Mobile Money,Kpalimé,,En cours
119,2025-02-14,257,23,3,10,Mobile_Money,Kpalimé,2.5,Livrée
120,2025-02-14,80,62,2,0,MOMO,Dapaong,5.9,Livrée
121,2025-02-15,245,11,2,0,MOMO,Sokodé,4.5,Livrée
122,2025-02-15,183,38,1,10,mobile money,Kara,,En cours
123,16/02/2025,110,49,2,0,mobile money,Lomé,1.0,Annulée
