product_id,category,brand,cost_price,list_price,stock_quantity,supplier_id
1,Cyclisme,Vela,41.0,95.5,333,2
2,Running,Kaito,40.1,56.3,199,5
3,Running,Atlas,24.2,42.8,136,2
4,Yoga,Kaito,23.4,46.8,233,4
5,Basketball,Prime,36.9,79.2,136,6
6,Football,Kaito,12.2,26.2,45,1
7,Football,Nova,26.1,51.1,323,6
8,Yoga,Vela,26.1,52.0,151,2
9,Cyclisme,Nova,13.5,30.1,352,2
10,Yoga,Fortis,6.1,,265,1
11,Basketball,Kaito,40.3,81.1,375,6
12,Yoga,Vela,34.9,52.7,97,4
13,Yoga,Vela,40.0,73.3,257,4
14,Running,Nova,21.1,37.8,90,1
15,Football,Atlas,20.8,53.5,156,4
16,Football,Vela,30.9,68.3,382,1
17,Basketball,Fortis,15.3,28.9,330,1
18,Football,Prime,14.4,31.7,5,2
19,Football,Prime,-31.8,49.6,338,6
20,Football,Prime,41.3,86.0,112,1
21,Basketball,Kaito,42.2,87.0,19,2
22,football ,Prime,31.0,64.6,24,3
23,Cyclisme,Fortis,15.3,22.2,387,6
24,BASKETBALL,Fortis,27.4,48.9,178,5
25,Running,Nova,20.5,29.5,362,1
26,Football,Prime,31.7,60.6,31,4
27,Football,Prime,19.4,41.0,111,5
28,Cyclisme,Fortis,26.2,60.8,315,6
29,Cyclisme,Nova,42.4,59.6,230,5
30,Yoga,Atlas,11.3,21.6,338,5
31,Cyclisme,Nova,30.5,71.7,380,4
32,Running,Atlas,14.8,24.3,363,3
33,Running,Kaito,19.5,49.5,346,4
34,Cyclisme,Fortis,16.6,42.2,87,3
35,Fitness,Prime,26.1,52.9,359,6
36,Yoga,Atlas,28.6,54.8,378,6
37,Football,Fortis,42.0,62.2,99,3
38,Running,Vela,43.1,73.3,314,5
39,Yoga,Atlas,34.0,73.2,368,6
40,Fitness,Kaito,21.5,35.4,67,1
41,Football,Kaito,41.7,100.4,237,1
42,Yoga,Vela,24.7,52.2,182,4
43,FOOTBALL,Kaito,43.5,85.2,93,4
44,FOOTBALL,Vela,13.2,19.4,271,3
45,running ,Atlas,37.8,86.0,336,1
46,Cyclisme,Prime,37.3,91.5,355,4
47,Yoga,Prime,7.8,11.2,173,1
48,Fitness,Kaito,15.7,,388,4
49,fitness ,Nova,29.0,46.4,45,5
50,Running,Nova,18.1,45.8,343,4
51,Basketball,Atlas,31.7,67.5,94,2
52,Yoga,Vela,7.5,17.8,187,6
53,Cyclisme,Prime,8.0,14.4,336,2
54,Running,Nova,30.4,71.7,121,2
55,Basketball,Prime,37.1,57.7,331,5
56,yoga ,Prime,13.7,28.6,154,4
57,Fitness,Vela,9.8,21.4,20,4
58,Cyclisme,Atlas,37.3,66.9,33,5
59,Fitness,Prime,40.8,65.1,138,1
60,Football,Vela,14.4,29.8,253,6
61,Cyclisme,Fortis,15.9,30.9,397,4
62,BASKETBALL,Nova,20.8,32.5,76,4
63,Yoga,Atlas,20.7,38.2,265,4
64,Fitness,Kaito,15.6,28.1,341,3
65,basketball ,Nova,35.4,74.1,350,2
66,Running,Nova,35.8,55.7,200,1
67,Cyclisme,Nova,9.2,22.8,292,2
68,CYCLISME,Kaito,38.5,82.5,342,2
69,Running,Fortis,40.5,74.9,123,5
70,Football,Nova,34.4,80.1,213,5
71,cyclisme ,Atlas,20.5,30.2,92,4
72,Cyclisme,Atlas,13.4,23.1,299,4
73,Fitness,Atlas,41.0,63.5,355,2
74,Running,Atlas,-31.1,70.5,162,6
75,Basketball,Prime,38.9,90.7,241,3
76,Fitness,Vela,13.2,30.5,236,5
77,Fitness,Atlas,23.3,43.3,136,3
78,Football,Nova,38.9,79.8,41,3
79,Cyclisme,Vela,34.1,63.4,12,5
80,Fitness,Prime,21.1,33.0,11,5
81,CYCLISME,Prime,11.8,26.5,364,5
82,Football,Prime,10.8,16.3,271,6
83,Running,Nova,12.9,27.0,380,3
84,Cyclisme,Atlas,13.4,33.5,300,2
85,Cyclisme,Atlas,8.6,,61,1
86,Running,Kaito,18.2,,99,3
87,Yoga,Nova,44.8,,101,6
88,Basketball,Kaito,21.4,35.7,205,1
89,Football,Nova,25.6,39.7,67,2
90,Basketball,Prime,24.9,40.3,65,5
4,Yoga,Kaito,23.4,46.8,238,4
